EVTDESC_SOH_5401;Today I was approached by a servant sent by [FromFrom.GetBestName], who asked me to pledge to support [FromFrom.GetBestName]'s bid to become the Grand Chancellor.;;;;;;;;;;;;;x
EVTOPTA_SOH_5401;That sounds reasonable!;;;;;;;;;;;;;x
EVTOPTB_SOH_5401;You will have to pay me first!;;;;;;;;;;;;;x
EVTOPTC_SOH_5401;If [FromFrom.GetSheHe] will owe me a Favor, I'll do it!;;;;;;;;;;;;;x
EVTOPTD_SOH_5401;If we consider it repayment of the Favor I owe, I'll do it!;;;;;;;;;;;;;x
EVTOPTE_SOH_5401;How about we forget all about this?;;;;;;;;;;;;;x
EVTOPTF_SOH_5401;I'd rather resign from the council!;;;;;;;;;;;;;x
EVTDESC_SOH_5402;The servant I sent to request support from [From.GetBestName] has returned with word that [From.GetSheHe] is prepared to support my bid to become the Grand Chancellor!;;;;;;;;;;;;;x
EVTOPTA_SOH_5402;Excellent!;;;;;;;;;;;;;x
EVTDESC_SOH_5403;The servant I sent to [From.GetBestName] has returned with word that [From.GetSheHe] will only support my bid to become the Grand Chancellor if I pay [From.GetHerHim] a substantial amount of money.;;;;;;;;;;;;;x
EVTOPTA_SOH_5403;I suppose that's reasonable...;;;;;;;;;;;;;x
EVTOPTB_SOH_5403;[From.GetSheHeCap] asks too much!;;;;;;;;;;;;;x
EVTDESC_SOH_5404;I did not have to wait long for [From.GetBestName]'s servant to return, bringing with him the gold I asked for in return for my support.;;;;;;;;;;;;;x
EVTOPTA_SOH_5404;Tell [From.GetTitledFirstName] [From.GetSheHe] will have my support!;;;;;;;;;;;;;x
EVTDESC_SOH_5405;[From.GetBestName]'s servant returned before long with word that [From.GetBestName] is unwilling to pay me for my support and that it is too bad that we could not reach an agreement.;;;;;;;;;;;;;x
EVTOPTA_SOH_5405;Did [From.GetSheHe] expect me to ask for less?;;;;;;;;;;;;;x
EVTDESC_SOH_5406;My servant has returned with word that [From.GetBestName] is prepared to support my bid to become the Grand Chancellor if I am willing to consider it a Favor to be repaid when [From.GetSheHe] asks for something.;;;;;;;;;;;;;x
EVTOPTA_SOH_5406;I suppose that's fair...;;;;;;;;;;;;;x
EVTOPTB_SOH_5406;I would rather not owe [From.GetHerHim]...;;;;;;;;;;;;;x
EVTDESC_SOH_5407;[From.GetBestName]'s servant quickly returned with word that my request for a Favor in return for supporting [From.GetBestName]'s bid to become the Grand Chancellor was deemed acceptable.;;;;;;;;;;;;;x
EVTOPTA_SOH_5407;This will surely be beneficial!;;;;;;;;;;;;;x
EVTDESC_SOH_5408;It did not take long for [From.GetBestName]'s servant to return with word that [From.GetBestName] is unwilling to agree to owe me a Favor in exchange for me supporting [From.GetHerHim]'s bid to become the Grand Chancellor.;;;;;;;;;;;;;x
EVTOPTA_SOH_5408;Well, I suppose that's that...;;;;;;;;;;;;;x
EVTDESC_SOH_5409;The servant I sent to [From.GetBestName] has returned with word that [From.GetSheHe] is willing to support my bid to become the Grand Chancellor if I am willing to consider it repayment of the Favor [From.GetSheHe] owes me.;;;;;;;;;;;;;x
EVTOPTA_SOH_5409;That sounds reasonable...;;;;;;;;;;;;;x
EVTOPTB_SOH_5409;I can think of better uses for that Favor...;;;;;;;;;;;;;x
EVTDESC_SOH_5410;[From.GetBestName] did apparently not need to think for very long before reaching a decision as [From.GetHerHis] servant returned almost immediately with word that [From.GetBestName] is willing to consider my backing repayment of the Favor I owed.;;;;;;;;;;;;;x
EVTOPTA_SOH_5410;Great!;;;;;;;;;;;;;x
EVTDESC_SOH_5411;It seems [From.GetBestName] might have other plans for the Favor I owe [From.GetHerHim] as [From.GetHerHis] servant returned with word that [From.GetSheHe] is unwilling to consider my support to be repayment of that Favor.;;;;;;;;;;;;;x
EVTOPTA_SOH_5411;I see...;;;;;;;;;;;;;x
EVTDESC_SOH_5412;The servant I sent to [From.GetBestName] has returned with word that [From.GetSheHe] deflected the request I made, and made some vague comments that makes it seem like it would be best for me to drop the matter for now.;;;;;;;;;;;;;x
EVTOPTA_SOH_5412;I see...;;;;;;;;;;;;;x
EVTDESC_SOH_5413;To my surprise, I have learned that [From.GetBestName] has resigned from the council. It seems [From.GetSheHe] did it to make a statement about [From.GetHerHis] unwillingness to support my bid to become the Grand Chancellor.;;;;;;;;;;;;;x
EVTOPTA_SOH_5413;Maybe [From.GetHerHis] replacement will support me?;;;;;;;;;;;;;x
EVTDESC_SOH_5414;I have finally managed to ensure sufficient backing that [Root.Liege.GetBestName], the [Root.Liege.GetSonDaughterCap] of Heaven, no longer can refuse to name me Grand Chancellor or to grant me and the rest of the council more authority.;;;;;;;;;;;;;x
EVTOPTA_SOH_5414;An auspicious day!;;;;;;;;;;;;;x
EVTDESC_SOH_5415;It has become clear that [From.GetBestName] has the support of a large number of my councillors, and it is impossible for me to avoid naming [From.GetHerHim] Grand Chancellor and to give [From.GetHerHim] and the rest of the council more authority.;;;;;;;;;;;;;x
EVTOPTA_SOH_5415;This is not ideal...;;;;;;;;;;;;;x
