EVTDESC_SOH_2101;It is possible for me to leave the Hwarang if I feel that I am too old to remain part of the society, but anyone that stops being a member of the society will never be allowed to re-join. If I leave now, I would get [hwarang_cash_out.GetValue] prestige and piety due my current Devotion.;;;;;;;;;;;;;;x
EVTOPTA_SOH_2101;It is time for me to leave the Hwarang!;;;;;;;;;;;;;;x
EVTOPTB_SOH_2101;Actually, I think I'll remain a member...;;;;;;;;;;;;;;x
EVTDESC_SOH_2102;I have just received word that [From.GetBestName] has decided to leave the Hwarang, citing [From.GetHerHis] age as [From.GetHerHis] reason for doing so. This is certainly not unusual, as few remain part of the Hwarang until the day they die.;;;;;;;;;;;;;;x
EVTOPTA_SOH_2102;Good to know, regardless...;;;;;;;;;;;;;;x
EVTDESC_SOH_2104;It is no secret that [FromFromFrom.GetBestName] is a member of the Hwarang and that the Hwarang put a great stock in loyalty, but I did not know just how highly they thought of [FromFromFrom.GetBestName] before a number of them approached me today, pointing out the many benefits of being a loyal subject of [FromFromFrom.GetHerHim].;;;;;;;;;;;;;;x
EVTOPTA_SOH_2104;Maybe we should try to be friends?;;;;;;;;;;;;;;x
EVTOPTB_SOH_2104;Maybe it is time for our rivalry to end?;;;;;;;;;;;;;;x
EVTOPTC_SOH_2104;I should really be less ambitious...;;;;;;;;;;;;;;x
EVTOPTD_SOH_2104;I don't really care about one of my claims...;;;;;;;;;;;;;;x
EVTOPTE_SOH_2104;I could be more chaste, like [FromFromFrom.GetHerHim]...;;;;;;;;;;;;;;x
EVTOPTF_SOH_2104;I could be more temperate, like [FromFromFrom.GetHerHim]...;;;;;;;;;;;;;;x
EVTOPTG_SOH_2104;I could be more charitable, like [FromFromFrom.GetHerHim]...;;;;;;;;;;;;;;x
EVTOPTH_SOH_2104;I could be more diligent, like [FromFromFrom.GetHerHim]...;;;;;;;;;;;;;;x
EVTOPTI_SOH_2104;I could be more patient, like [FromFromFrom.GetHerHim]...;;;;;;;;;;;;;;x
