EVTTITLE_SOH_10401;The Yulin Guard;;;;;;;;;;;;;x
EVTDESC_SOH_10401;The [Root.GetSonDaughterCap] of Heaven, the heavenly [Root.GetBestName], has proclaimed the creation of a new imperial guard regiment, the Yulin Guard. This highly disciplined fighting force will protect the Dragon Throne and the Middle Kingdom from all uncivilized barbarians and maintain peace, order, and harmony within its borders.\n\nWhether this means that the [Root.GetSonDaughterCap] of Heaven has become interested in expansionistic endeavours, that [Root.GetSheHe] is concerned for [Root.GetHerHis] safety, or that [Root.GetSheHe] has other motives is as of yet unknown, but the Dragon Throne's fury has grown more potent.;;;;;;;;;;;;;x
EVTOPTA_SOH_10401;No enemy shall be beyond my wrath!;;;;;;;;;;;;;x
EVTOPTB_SOH_10401;An auspicious event!;;;;;;;;;;;;;x
EVTOPTC_SOH_10401;The false Dragon grows stronger...;;;;;;;;;;;;;x
EVTOPTD_SOH_10401;This might become a problem...;;;;;;;;;;;;;x
EVTTITLE_SOH_10402;The Longwu Guard;;;;;;;;;;;;;x
EVTDESC_SOH_10402;The [Root.GetSonDaughterCap] of Heaven, the heavenly [Root.GetBestName], has proclaimed the creation of a new imperial guard regiment, the Longwu Guard. This highly disciplined fighting force will protect the Dragon Throne and the Middle Kingdom from all uncivilized barbarians and maintain peace, order, and harmony within its borders.\n\nWhether this means that the [Root.GetSonDaughterCap] of Heaven has become interested in expansionistic endeavours, that [Root.GetSheHe] is concerned for [Root.GetHerHis] safety, or that [Root.GetSheHe] has other motives is as of yet unknown, but the Dragon Throne's fury has grown more potent.;;;;;;;;;;;;;x
EVTOPTA_SOH_10402;No enemy shall be beyond my wrath!;;;;;;;;;;;;;x
EVTOPTB_SOH_10402;An auspicious event!;;;;;;;;;;;;;x
EVTOPTC_SOH_10402;The false Dragon grows stronger...;;;;;;;;;;;;;x
EVTOPTD_SOH_10402;This might become a problem...;;;;;;;;;;;;;x
EVTTITLE_SOH_10403;The Shenwu Guard;;;;;;;;;;;;;x
EVTDESC_SOH_10403;The [Root.GetSonDaughterCap] of Heaven, the heavenly [Root.GetBestName], has proclaimed the creation of a new imperial guard regiment, the Shenwu Guard. This highly disciplined fighting force will protect the Dragon Throne and the Middle Kingdom from all uncivilized barbarians and maintain peace, order, and harmony within its borders.\n\nWhether this means that the [Root.GetSonDaughterCap] of Heaven has become interested in expansionistic endeavours, that [Root.GetSheHe] is concerned for [Root.GetHerHis] safety, or that [Root.GetSheHe] has other motives is as of yet unknown, but the Dragon Throne's fury has grown more potent.;;;;;;;;;;;;;x
EVTOPTA_SOH_10403;No enemy shall be beyond my wrath!;;;;;;;;;;;;;x
EVTOPTB_SOH_10403;An auspicious event!;;;;;;;;;;;;;x
EVTOPTC_SOH_10403;The false Dragon grows stronger...;;;;;;;;;;;;;x
EVTOPTD_SOH_10403;This might become a problem...;;;;;;;;;;;;;x
EVTTITLE_SOH_10404;The Shence Guard;;;;;;;;;;;;;x
EVTDESC_SOH_10404;The [Root.GetSonDaughterCap] of Heaven, the heavenly [Root.GetBestName], has proclaimed the creation of a new imperial guard regiment, the Shence Guard. This highly disciplined fighting force will protect the Dragon Throne and the Middle Kingdom from all uncivilized barbarians and maintain peace, order, and harmony within its borders.\n\nWhether this means that the [Root.GetSonDaughterCap] of Heaven has become interested in expansionistic endeavours, that [Root.GetSheHe] is concerned for [Root.GetHerHis] safety, or that [Root.GetSheHe] has other motives is as of yet unknown, but the Dragon Throne's fury has grown more potent.;;;;;;;;;;;;;x
EVTOPTA_SOH_10404;No enemy shall be beyond my wrath!;;;;;;;;;;;;;x
EVTOPTB_SOH_10404;An auspicious event!;;;;;;;;;;;;;x
