EVTDESC_SOH_7602;The formerly [shinto.GetName] population of the county of [Root.GetName] has converted to the [Root.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTOPTA_SOH_7602;I see...;;;;;;;;;;;;;x
EVTOPTB_SOH_7602;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_SOH_7602;That's not ideal...;;;;;;;;;;;;;x
EVTDESC_SOH_7603;The formerly [shinto.GetName] population of the county of [From.GetName] has converted to the [From.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTOPTA_SOH_7603;I see...;;;;;;;;;;;;;x
EVTOPTB_SOH_7603;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_SOH_7603;That's not ideal...;;;;;;;;;;;;;x
EVTDESC_SOH_7604;The formerly [buddhist.GetName] population of the county of [Root.GetName] has converted to the [Root.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTOPTA_SOH_7604;I see...;;;;;;;;;;;;;x
EVTOPTB_SOH_7604;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_SOH_7604;That's not ideal...;;;;;;;;;;;;;x
EVTDESC_SOH_7605;The formerly [buddhist.GetName] population of the county of [From.GetName] has converted to the [From.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTOPTA_SOH_7605;I see...;;;;;;;;;;;;;x
EVTOPTB_SOH_7605;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_SOH_7605;That's not ideal...;;;;;;;;;;;;;x
EVTDESC_SOH_7606;The formerly [shugendo.GetName] population of the county of [Root.GetName] has converted to the [Root.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTOPTA_SOH_7606;I see...;;;;;;;;;;;;;x
EVTOPTB_SOH_7606;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_SOH_7606;That's not ideal...;;;;;;;;;;;;;x
EVTDESC_SOH_7607;The formerly [shugendo.GetName] population of the county of [From.GetName] has converted to the [From.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTOPTA_SOH_7607;I see...;;;;;;;;;;;;;x
EVTOPTB_SOH_7607;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_SOH_7607;That's not ideal...;;;;;;;;;;;;;x
EVTDESC_SOH_7608;The formerly [koshin.GetName] population of the county of [Root.GetName] has converted to the [Root.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTOPTA_SOH_7608;I see...;;;;;;;;;;;;;x
EVTOPTB_SOH_7608;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_SOH_7608;That's not ideal...;;;;;;;;;;;;;x
EVTDESC_SOH_7609;The formerly [koshin.GetName] population of the county of [From.GetName] has converted to the [From.Religion.GetName] faith.;;;;;;;;;;;;;x
EVTOPTA_SOH_7609;I see...;;;;;;;;;;;;;x
EVTOPTB_SOH_7609;Good news, everyone!;;;;;;;;;;;;;x
EVTOPTC_SOH_7609;That's not ideal...;;;;;;;;;;;;;x
