EVTDESC_SOH_6901;[Root.GetBestName],\nIt is clear that the realm would only benefit from a Permanent Regency under me. I suggest that you agree with this demand, as I and my backers otherwise will compel you by force of arms.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6901;I suppose I can accept this...;;;;;;;;;;;;;x
EVTOPTB_SOH_6901;Never!;;;;;;;;;;;;;x
EVTDESC_SOH_6902;[Root.GetBestName],\nI assume you wish to know that [FromFrom.GetBestName] has been named as my Permanent Regent and that [FromFrom.GetSheHe] will be in charge of a Permanent Regency.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6902;Excellent!;;;;;;;;;;;;;x
EVTDESC_SOH_6903;[Root.GetBestName],\nIn the interests of the realm as a whole, I have decided to accept that making you my Permanent Regent and agreeing to a Permanent Regency is a wise course of action.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6903;Assuming indirect control!;;;;;;;;;;;;;x
EVTDESC_SOH_6904;[Root.GetBestName],\nYour claim that a Permanent Regency would be best for the realm is false, and your attempt to take power from me is treason. My armies will be coming to arrest you and those who would side with you.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6904;Then prepare for war!;;;;;;;;;;;;;x

EVTDESC_SOH_6905;[Root.GetBestName],\nIt is clear that the realm would only benefit from a Permanent Regency under me. I suggest that you agree with this demand, as I and my backers otherwise will compel you by force of arms.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6905;I suppose I can accept this...;;;;;;;;;;;;;x
EVTOPTB_SOH_6905;Never!;;;;;;;;;;;;;x
EVTDESC_SOH_6906;[Root.GetBestName],\nI assume you wish to know that [FromFrom.GetBestName] has been named as my Permanent Regent and that [FromFrom.GetSheHe] will be in charge of a Permanent Regency.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6906;Excellent!;;;;;;;;;;;;;x
EVTDESC_SOH_6907;[Root.GetBestName],\nIn the interests of the realm as a whole, I have decided to accept that making you my Permanent Regent and agreeing to a Permanent Regency is a wise course of action.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6907;Assuming indirect control!;;;;;;;;;;;;;x
EVTDESC_SOH_6908;[Root.GetBestName],\nYour claim that a Permanent Regency would be best for the realm is false, and your attempt to take power from me is treason. My armies will be coming to arrest you and those who would side with you.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6908;Then prepare for war!;;;;;;;;;;;;;x

EVTDESC_SOH_6909;[Root.GetBestName],\nIt is clear that the realm would only benefit from a Permanent Regency under me. I suggest that you agree with this demand, as I and my backers otherwise will compel you by force of arms.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6909;I suppose I can accept this...;;;;;;;;;;;;;x
EVTOPTB_SOH_6909;Never!;;;;;;;;;;;;;x
EVTDESC_SOH_6910;[Root.GetBestName],\nI assume you wish to know that [FromFrom.GetBestName] has been named as my Permanent Regent and that [FromFrom.GetSheHe] will be in charge of a Permanent Regency.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6910;Excellent!;;;;;;;;;;;;;x
EVTDESC_SOH_6911;[Root.GetBestName],\nIn the interests of the realm as a whole, I have decided to accept that making you my Permanent Regent and agreeing to a Permanent Regency is a wise course of action.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6911;Assuming indirect control!;;;;;;;;;;;;;x
EVTDESC_SOH_6912;[Root.GetBestName],\nYour claim that a Permanent Regency would be best for the realm is false, and your attempt to take power from me is treason. My armies will be coming to arrest you and those who would side with you.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6912;Then prepare for war!;;;;;;;;;;;;;x

EVTDESC_SOH_6913;[Root.GetBestName],\nIt is clear that the realm would benefit from the appointment of a Shogun to oversee various matters, and it is also clear I should be the Shogun. You can either name me Shogun, or I will see to it that there is a new Tenno that will.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6913;I suppose I can accept this...;;;;;;;;;;;;;x
EVTOPTB_SOH_6913;Never!;;;;;;;;;;;;;x
EVTDESC_SOH_6914;[Root.GetBestName],\nI assume you wish to know that [FromFrom.GetBestName] has been named Shogun and that [FromFrom.GetSheHe] will be in charge of various matters in my name.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTDESC_SOH_6915;[Root.GetBestName],\nI assume you wish to know that [FromFrom.GetBestName] has been named Shogun and that [FromFrom.GetSheHe] will be in charge of various matters.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTDESC_SOH_6916;[Root.GetBestName],\nI have decided to accept that making you Shogun and putting you in charge of various matters indeed is a wise course of action.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTDESC_SOH_6917;[Root.GetBestName],\nYour claim that naming you Shogun would be best for the realm is false, and your attempt to take power from me is treason. My armies will be coming to arrest you and any who would support you.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x

EVTDESC_SOH_6918;[Root.GetBestName],\nThe time has come for the realm to once more be ruled directly from the Chrysanthemum Throne. I suggest that you step aside and let [the_tenno.GetAppropriateNameOrMeFrom] resume control, as I and my backers otherwise will compel you by force of arms.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
ME;me;;;;;;;;;;;;;x
EVTOPTA_SOH_6918;I suppose that is agreeable...;;;;;;;;;;;;;x
EVTOPTB_SOH_6918;Never!;;;;;;;;;;;;;x
EVTDESC_SOH_6919;[Root.GetBestName],\nI assume you wish to know that [the_tenno.GetBestName] once more will rule the realm directly from the Chrysanthemum Throne, as is [the_tenno.GetHerHis] divine right.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTDESC_SOH_6920;[Root.GetBestName],\nI assume you wish to know that [the_tenno.GetBestName] once more will rule the realm directly from the Chrysanthemum Throne, as is [the_tenno.GetHerHis] divine right.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTDESC_SOH_6921;[Root.GetBestName],\nI agree to your terms. The realm will once more be ruled directly from the Chrysanthemum Throne.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTDESC_SOH_6922;[Root.GetBestName],\nThe realm would not benefit from direct rule from the Chrysanthemum Throne, and to suggest that it would is treason. My armies will be coming to arrest you and those who would side with you.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x

EVTDESC_SOH_6923;[Root.GetBestName]\nThe time has come for there to be a new ruler on the Chrysanthemum Throne. I urge you to step aside peacefully so that the realm does not need to suffer unduly.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTOPTA_SOH_6923;I suppose I could agree to retire...;;;;;;;;;;;;;x
EVTOPTB_SOH_6923;The Chrysanthemum Throne belongs to me!;;;;;;;;;;;;;x
EVTDESC_SOH_6924;[Root.GetBestName]\nI agree that the time has come for me to retire, and will peacefully step aside to allow another member of the Imperial Family to take possession of the Chrysanthemum Throne.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTDESC_SOH_6925;[Root.GetBestName]\nI write to inform you that I have agreed to step aside to allow another member of the Imperial Family to take possession of the Chrysanthemum Throne.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTDESC_SOH_6926;[Root.GetBestName]\nI write to inform you that I have agreed to step aside to allow another member of the Imperial Family to take possession of the Chrysanthemum Throne.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
EVTDESC_SOH_6927;[Root.GetBestName]\nThe Chrysanthemum Throne is mine by right, and none may take it from me while I still draw breath. My armies are coming to arrest you and and any other traitors supporting your cause.\nBy my hand and seal,\n[From.GetBestName];;;;;;;;;;;;;x
