EVTDESC_SOH_5102;The eunuchs at court are very influential at present, and many attempts to limit their influence have failed. Perhaps I should call in [vassal_assisting.GetBestName] to deal with the matter in a very direct fashion, even though [vassal_assisting.GetSheHe] might expect significant influence in return.;;;;;;;;;;;;;x
EVTOPTA_SOH_5102;I will call [vassal_assisting.GetHerHim] in!;;;;;;;;;;;;;x
EVTOPTB_SOH_5102;I will call [vassal_assisting.GetHerHim] in... and betray [vassal_assisting.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTC_SOH_5102;It would be too risky...;;;;;;;;;;;;;x
EVTDESC_SOH_5103;There are quite a few very influential courtiers at present, and many attempts to limit their influence have failed. Perhaps I should call in [vassal_assisting.GetBestName] to deal with the matter in a very direct fashion, even though [vassal_assisting.GetSheHe] might expect significant influence in return.;;;;;;;;;;;;;x
EVTOPTA_SOH_5103;I will call [vassal_assisting.GetHerHim] in!;;;;;;;;;;;;;x
EVTOPTB_SOH_5103;I will call [vassal_assisting.GetHerHim] in... and betray [vassal_assisting.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTC_SOH_5103;It would be too risky...;;;;;;;;;;;;;x
EVTDESC_SOH_5104;The eunuchs and several others at court are very influential at present, and many attempts to limit their influence have failed. Perhaps I should call in [vassal_assisting.GetBestName] to deal with the matter in a very direct fashion, even though [vassal_assisting.GetSheHe] might expect significant influence in return.;;;;;;;;;;;;;x
EVTOPTA_SOH_5104;I will call [vassal_assisting.GetHerHim] in!;;;;;;;;;;;;;x
EVTOPTB_SOH_5104;I will call [vassal_assisting.GetHerHim] in... and betray [vassal_assisting.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTC_SOH_5104;It would be too risky...;;;;;;;;;;;;;x
EVTDESC_SOH_5105;The current situation at court needs to change. At present, I believe [vassal_assisting.GetBestName] would be best suited for dealing with the matter, even though [vassal_assisting.GetSheHe] might expect significant influence in return.;;;;;;;;;;;;;x
EVTOPTA_SOH_5105;I will call [vassal_assisting.GetHerHim] in!;;;;;;;;;;;;;x
EVTOPTB_SOH_5105;I will call [vassal_assisting.GetHerHim] in... and betray [vassal_assisting.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTC_SOH_5105;It would be too risky...;;;;;;;;;;;;;x
EVTDESC_SOH_5106;A messenger has arrived in the dead of night, bringing a secret missive from [From.GetBestName], the [From.GetSonDaughterCap] of Heaven. Apparently the situation at court is such that [From.GetSheHe] wishes for me to gather an army to deal with a number of people that are far too powerful for [From.GetBestName]'s liking.;;;;;;;;;;;;;x
EVTOPTA_SOH_5106;[From.GetBestName] will certainly reward me!;;;;;;;;;;;;;x
EVTOPTB_SOH_5106;This sounds far too risky...;;;;;;;;;;;;;x
EVTDESC_SOH_5107;[From.GetBestName] has sent out a secret call to arms, requesting that I should gather my most trusted retainers to join [From.GetHerHim] in [From.GetHerHis] attempt to help [From.Liege.GetBestName], the [From.Liege.GetSonDaughterCap] of Heaven, deal with some troublesome members of [From.Liege.GetHerHis] court.;;;;;;;;;;;;;x
EVTOPTA_SOH_5107;Of course I will help!;;;;;;;;;;;;;x
EVTOPTB_SOH_5107;This is far too risky...;;;;;;;;;;;;;x
EVTDESC_SOH_5108;I have received word that [From.GetBestName] will be joining me in my attempt to help the [Root.Liege.GetSonDaughterCap] of Heaven deal with the situation at court.;;;;;;;;;;;;;x
EVTOPTA_SOH_5108;Together we are sure to triumph!;;;;;;;;;;;;;x
EVTDESC_SOH_5109;I have received word that [From.GetBestName] has no intention of joining me in my attempt to help the [Root.Liege.GetSonDaughterCap] of Heaven deal with the situation at court.;;;;;;;;;;;;;x
EVTOPTA_SOH_5109;I don't need [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_5110;The messenger I sent to [From.GetBestName] has returned, bringing word that [From.GetSheHe] is gathering [From.GetHerHis] most trusted soldiers in secret to bring them to my court to help me with the situation.;;;;;;;;;;;;;x
EVTOPTA_SOH_5110;Now I just need to wait...;;;;;;;;;;;;;x
EVTDESC_SOH_5111;The messenger I sent to [From.GetBestName] has returned with word that [From.GetSheHe] is not prepared to help me with the situation at court. Apparently, [From.GetSheHe] thinks it is far too risky to make such a move.;;;;;;;;;;;;;x
EVTOPTA_SOH_5111;With subjects like these, who needs enemies?;;;;;;;;;;;;;x
EVTDESC_SOH_5112;The situation at the [Root.Liege.GetSonDaughterCap] of Heaven's court is dire. The eunuchs have amassed a great deal of power, and they are using it in an unseemely fashion. It is clear they must be dealt with... permanently. Perhaps I could be the one that sees it done.;;;;;;;;;;;;;x
EVTOPTA_SOH_5112;I will gather my forces at once!;;;;;;;;;;;;;x
EVTOPTB_SOH_5112;It would be far too dangerous...;;;;;;;;;;;;;x
EVTDESC_SOH_5113;The [Root.Liege.GetSonDaughterCap] of Heaven's court is currently dominated by a number of powerful courtiers, and it is clear that they are abusing their authority. The realm would benefit from someone marching to the capital and dealing with these courtiers... permanently. Maybe I should take the initiative to see it done.;;;;;;;;;;;;;x
EVTOPTA_SOH_5113;I will gather my forces at once!;;;;;;;;;;;;;x
EVTOPTB_SOH_5113;It would be far too dangerous...;;;;;;;;;;;;;x
EVTDESC_SOH_5114;A number of powerful courtiers and eunuchs currently control the [Root.Liege.GetSonDaughterCap] of Heaven's court, which is a state of affairs that clearly will not benefit the realm in the long term. Someone should lead an army to the capital and deal with these uppity courtiers and eunuchs... permanently.;;;;;;;;;;;;;x
EVTOPTA_SOH_5114;I will gather my forces at once!;;;;;;;;;;;;;x
EVTOPTB_SOH_5114;It would be far too dangerous...;;;;;;;;;;;;;x
EVTDESC_SOH_5115;I have made the decision to gather my most loyal retainers to march to the capital of the [Root.Liege.GetSonDaughterCap] of Heaven to deal with the situation at court. I expect to be duly compensated, of course, but everyone should see that I am doing this for the good of the realm.;;;;;;;;;;;;;x
EVTOPTA_SOH_5115;I am doing the realm a service!;;;;;;;;;;;;;x
EVTDESC_SOH_5116;My liege, [From.GetBestName], has sent a message asking for me to gather my most trusted retainers to join [From.GetHerHim] in [From.GetHerHis] attempt to deal with certain troublesome elements at the court of the [From.Liege.GetSonDaughterCap] of Heaven.;;;;;;;;;;;;;x
EVTOPTA_SOH_5116;I will see to it at once!;;;;;;;;;;;;;x
EVTOPTB_SOH_5116;I will not take part in this fool's errand!;;;;;;;;;;;;;x
EVTDESC_SOH_5117;[From.GetBestName] has informed me that [From.GetSheHe] will be joining me in my attempt to deal with the situation at the [Root.Liege.GetSonDaughterCap] of Heaven's court, along with [From.GetHerHis] most trusted retainers.;;;;;;;;;;;;;x
EVTOPTA_SOH_5117;As expected!;;;;;;;;;;;;;x
EVTDESC_SOH_5118;[From.GetBestName] has informed me that [From.GetSheHe] considers my attempt to deal with the situation at the [Root.Liege.GetSonDaughterCap] of Heaven's court a fool's errand, and that [From.GetSheHe] will not be throwing away [From.GetHerHis] life in such a manner.;;;;;;;;;;;;;x
EVTOPTA_SOH_5118;I expected better from [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_SOH_5119;A messenger arrived in the dead of night, and somehow made contact with some of my most trusted guards to pass on a missive from [From.GetBestName], informing me that [From.GetSheHe] is coming to the capital with an army to deal with certain troublesome elements at court.;;;;;;;;;;;;;x
EVTOPTA_SOH_5119;[From.GetBestName] has my support!;;;;;;;;;;;;;x
EVTOPTB_SOH_5119;I will play them against each other!;;;;;;;;;;;;;x
EVTOPTC_SOH_5119;I will oppose [From.GetBestName]!;;;;;;;;;;;;;x
EVTOPTD_SOH_5119;I can't get involved...;;;;;;;;;;;;;x
EVTDESC_SOH_5121;I have arrived at the capital of the [Root.Liege.GetSonDaughterCap] of Heaven with my most trusted retainers. Unfortunately, [Root.Liege.GetBestName] does not seem to understand that I am doing this for the good of the realm, seeing as [Root.Liege.GetHerHis] forces clearly are arrayed against me.;;;;;;;;;;;;;x
EVTOPTA_SOH_5121;Someone else also needs to be dealt with...;;;;;;;;;;;;;x
EVTDESC_SOH_5122;[From.GetBestName]'s forces have arrived at my capital, and my forces are ready to oppose them, alongside the forces loyal to certain interest groups at court. If [From.GetBestName] should prevail, I doubt [From.GetSheHe] will be happy about this.;;;;;;;;;;;;;x
EVTOPTA_SOH_5122;It is for the good of the realm...;;;;;;;;;;;;;x
EVTDESC_SOH_5123;It seems the troublesome elements at court have learned of my arrival at the [Root.Liege.GetSonDaughterCap] of Heaven's court ahead of time, as their forces are arrayed against mine. It seems [Root.Liege.GetBestName]'s forces are not with them, however, which bodes well.;;;;;;;;;;;;;x
EVTOPTA_SOH_5123;I can still win this...;;;;;;;;;;;;;x
EVTDESC_SOH_5124;[From.GetBestName]'s forces have arrived at my capital, ready to deal with certain troublesome elements at my court. It seems [From.GetHerHis] arrival was expected, however, as forces loyal to those same elements at court are arrayed against [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTA_SOH_5124;I must help [From.GetHerHim] prevail!;;;;;;;;;;;;;x
EVTOPTB_SOH_5124;Now we wait for the moment to strike...;;;;;;;;;;;;;x
EVTDESC_SOH_5125;I have arrived at the capital of [Root.Liege.GetSonDaughterCap] of Heaven with my forces, and it would seem my arrival has not been anticipated as there is only a token detachment of guards at the gates. They wisely throw down their weapons and step aside when they realize how outnumbered they are.;;;;;;;;;;;;;x
EVTOPTA_SOH_5125;Secure the palace!;;;;;;;;;;;;;x
EVTDESC_SOH_5126;[From.GetBestName]'s forces have arrived at my, and the outnumbered guards at the gates have seemingly stepped aside as there is already sounds of fighting coming from quite a bit further into the palace. The unexpected arrival of [From.GetBestName]'s forces might bode well for [From.GetHerHis] chances.;;;;;;;;;;;;;x
EVTOPTA_SOH_5126;This might actually work out!;;;;;;;;;;;;;x
EVTOPTB_SOH_5126;Now we wait for the moment to strike...;;;;;;;;;;;;;x
EVTOPTC_SOH_5126;This should be interesting...;;;;;;;;;;;;;x
EVTDESC_SOH_5128;The fighting in the palace continues. At the moment, the forces of [vassal_assisting.GetBestName] appear to be gaining the upper hand, though in the chaos it is hard to tell, particularly as a lot of it is taking place quite far from me.;;;;;;;;;;;;;x
EVTOPTA_SOH_5128;I see...;;;;;;;;;;;;;x
EVTOPTB_SOH_5128;Everything is proceeding as I have foreseen...;;;;;;;;;;;;;x
EVTOPTC_SOH_5128;This is getting out of hand...;;;;;;;;;;;;;x
EVTOPTD_SOH_5128;Time to spring my trap!;;;;;;;;;;;;;x
EVTDESC_SOH_5130;The fighting inside the [From.GetSonDaughterCap] of Heaven seems to be going well, and my forces seem to be prevailing on multiple fronts. Still, the fighting is chaotic, and it is impossible for me to personally oversee more than a small fraction of it, so the battle might still turn against me.;;;;;;;;;;;;;x
EVTOPTA_SOH_5130; Keep the pressure on!;;;;;;;;;;;;;x
EVTDESC_SOH_5131;As the fighting continues my soldiers corner [cornered_rival.GetBestName] and a small detachment of [cornered_rival.GetHerHis] guards in a small room. The latter are swiftly dealt with, and my soldiers bring [cornered_rival.GetBestName] before me, knowing that I might wish to deal with [cornered_rival.GetHerHim] personally.;;;;;;;;;;;;;x
EVTOPTA_SOH_5131;I will enjoy this!;;;;;;;;;;;;;x
EVTOPTB_SOH_5131;Guards! Take [cornered_rival.GetHerHim] away!;;;;;;;;;;;;;x
EVTDESC_SOH_5132;In the middle of the fighting I come across [traitor_courtier.GetBestName] and a small detachment of guards holding [betrayed_courtier.GetBestName] captive. [traitor_courtier.GetBestName] offers to hand [betrayed_courtier.GetBestName] over to me, in exchange for me sparing [traitor_courtier.GetHerHim] if I prevail.;;;;;;;;;;;;;x
EVTOPTA_SOH_5132;Very well. You will be spared!;;;;;;;;;;;;;x
EVTOPTB_SOH_5132;Guards! Seize them both!;;;;;;;;;;;;;x
EVTDESC_SOH_5133;One of my soldiers comes running to inform me that a room containing what appears to be a large amount of tax money yet to be counted has been discovered. Much as I might wish otherwise, it would likely disappear into the hands of some less honest soldiers if I left it alone, so I know what must be done.;;;;;;;;;;;;;x
EVTOPTA_SOH_5133;Secure it, for the good of the realm!;;;;;;;;;;;;;x
EVTDESC_SOH_5134;One of my soldiers approaches me and presents a small box containing a valuable item discovered during the fighting. Its owner will probably not like losing it, but I doubt they can be found, and the item certainly is far too valuable to just leave lying around.;;;;;;;;;;;;;x
EVTOPTA_SOH_5134;I can find a use for this!;;;;;;;;;;;;;x
EVTDESC_SOH_5135;The fighting at the [Root.Liege.GetSonDaughterCap] of Heaven's palace is going well, and it seems [Root.Liege.GetBestName]'s commanders are realizingt this. One of them, [traitor_courtier.GetBestName], has requested a truce to negotiate [traitor_courtier.GetHerHis] defection to my side.;;;;;;;;;;;;;x
EVTOPTA_SOH_5135;I welcome your fealty!;;;;;;;;;;;;;x
EVTOPTB_SOH_5135;Guards! Imprison this traitor!;;;;;;;;;;;;;x
EVTDESC_SOH_5136;One of my messengers informs me that [traitor_courtier.GetBestName] has seen fit to betray my forces to align with [From.GetBestName]. Apparently [traitor_courtier.GetSheHe] must have failed to understand that my forces' current weakness merely is a temporary setback.;;;;;;;;;;;;;x
EVTOPTA_SOH_5136;It's treason, then...;;;;;;;;;;;;;x
EVTDESC_SOH_5137;One of my soldiers comes running to inform me that the location of my hated rival, [discovered_prisoner.GetBestName], has been determined and that [discovered_prisoner.GetSheHe] is only lightly guarded. It would be a simple matter to take a quick detour to see to it that [discovered_prisoner.GetSheHe] dies, if I so desire.;;;;;;;;;;;;;x
EVTOPTA_SOH_5137;Time for [discovered_prisoner.GetHerHim] to die!;;;;;;;;;;;;;x
EVTOPTB_SOH_5137;[discovered_prisoner.GetSheHeCap] is where [discovered_prisoner.GetSheHe] belongs...;;;;;;;;;;;;;x
EVTDESC_SOH_5138;The sounds of fighting in the palace have been getting closer for quite some time and the guards outside have gone to investigate the situation. I hear the sound of footsteps approaching and expect to see the guards returning, but instead I discover that it is [From.GetBestName] that is coming my way, [From.GetHerHis] weapon at the ready.;;;;;;;;;;;;;x
EVTOPTA_SOH_5138;You? No!;;;;;;;;;;;;;x
EVTDESC_SOH_5139;One of my soldiers has informed me that the location of [discovered_prisoner.GetBestName] has been determined and that [discovered_prisoner.GetSheHe] only is lightly guarded at this time. It would not be difficult to rescue [discovered_prisoner.GetHerHim], if I so desire.;;;;;;;;;;;;;x
