EVTDESCA_SOH_13301;As I separate out the yarrow stalk I will not be using and start sorting them into piles I try to recall what I have read in the I Ching in the past so that I may interpret the result of the divination correctly. I also consider what I should try to divine...;;;;;;;;;;;;;x
EVTDESCB_SOH_13301;As I separate out the yarrow stalk I will not be using and start sorting them into piles I glance over at my copy of the I Ching, safe in the knowledge that I will be able to interpret the result of the divination correctly. I also consider what I should try to divine...;;;;;;;;;;;;;x
EVTOPTA_SOH_13301;I want to know about battles to come.;;;;;;;;;;;;;x
EVTOPTB_SOH_13301;I want to know where my relationships will lead.;;;;;;;;;;;;;x
EVTOPTC_SOH_13301;I want to know what will happen to me as [Root.GetTitle].;;;;;;;;;;;;;x
EVTDESCA_SOH_13302_BATTLE;The hexagram generated using the yarrow stalks comes out leaning heavily towards the Yang side of things. I consider the implications of the commentary related to the specific outcome and how it applies to the field of battle.;;;;;;;;;;;;;x
EVTDESCB_SOH_13302_BATTLE;The hexagram generated using the yarrow stalks is a roughly even mix of Yin and Yang. I consider the implications of the commentary related to the specific outcome and how it applies to the field of battle.;;;;;;;;;;;;;x
EVTDESCC_SOH_13302_BATTLE;The hexagram generated using the yarrow stalks comes out leaning heavily towards the Yin side of things. I consider the implications of the commentary related to the specific outcome and how it applies to the field of battle.;;;;;;;;;;;;;x
EVTDESCA_SOH_13302_POWER;The hexagram generated using the yarrow stalks comes out leaning heavily towards the Yang side of things. I consider the implications of the commentary related to the specific outcome and how it applies to ruling a [Root.PrimaryTitle.GetTier].;;;;;;;;;;;;;x
EVTDESCB_SOH_13302_POWER;The hexagram generated using the yarrow stalks is a roughly even mix of Yin and Yang. I consider the implications of the commentary related to the specific outcome and how it applies to ruling a [Root.PrimaryTitle.GetTier].;;;;;;;;;;;;;x
EVTDESCC_SOH_13302_POWER;The hexagram generated using the yarrow stalks comes out leaning heavily towards the Yin side of things. I consider the implications of the commentary related to the specific outcome and how it applies to ruling a [Root.PrimaryTitle.GetTier].;;;;;;;;;;;;;x
EVTDESCA_SOH_13302_RELATIONSHIP;The hexagram generated using the yarrow stalks comes out leaning heavily towards the Yang side of things. I consider the implications of the commentary related to the specific outcome and how it applies to relationships.;;;;;;;;;;;;;x
EVTDESCB_SOH_13302_RELATIONSHIP;The hexagram generated using the yarrow stalks is a roughly even mix of Yin and Yang. I consider the implications of the commentary related to the specific outcome and how it applies to relationships.;;;;;;;;;;;;;x
EVTDESCC_SOH_13302_RELATIONSHIP;The hexagram generated using the yarrow stalks comes out leaning heavily towards the Yin side of things. I consider the implications of the commentary related to the specific outcome and how it applies to relationships.;;;;;;;;;;;;;x
EVTOPTA_SOH_13302;Marvelous! This predicts a glorious future!;;;;;;;;;;;;;x
EVTOPTB_SOH_13302;Damnation! This predicts a looming disaster!;;;;;;;;;;;;;x
EVTDESCA_SOH_13303;The battle is fierce and I have gained new skills! The future I divined in the past certainly was accurate! My personal guard are being left behind as I charge into battle. I am amazing!;;;;;;;;;;;;;x
EVTDESCB_SOH_13303;The battle rages on and I am surprised by every arrow that I deflect and by every blow that misses me. I have been waiting for something terrible to happen, yet [Root.TrueReligion.GetHighGodName] does not seem finished with me. I suppose there is a chance that I have misinterpreted the outcome of my earlier divination.;;;;;;;;;;;;;x
EVTOPTA_SOH_13303;The Heavens watch over us!;;;;;;;;;;;;;x
EVTOPTB_SOH_13303;We will not be overcome!;;;;;;;;;;;;;x
EVTOPTC_SOH_13303;With me!;;;;;;;;;;;;;x
EVTDESCA_SOH_13304;As the battle rages on, I am not surprised by the heavy losses we are taking. Every arrow that sears over my head makes my pulse quicken. Just as I am becoming convinced that this is the battle I divined would not go in my favour, I stumble from a sharp pain in my leg. An arrows sticks out from my knee.;;;;;;;;;;;;;x
EVTDESCB_SOH_13304;We have been fighting this war for what feels like an eternity and I fail to see how anything good can come of all this bloodshed. Just as I am beginning to think that I misinterpreted the future I divined, I am hit by something, hard. An arrow sticks out from my knee.;;;;;;;;;;;;;x
EVTOPTA_SOH_13304;At least I was right.;;;;;;;;;;;;;x
EVTOPTB_SOH_13304;Curses! Where is the glory in this?;;;;;;;;;;;;;x
EVTDESCA_SOH_13305;I meet the stare of my newborn [From.GetSonDaughter] for the first time and it is clear that I divined the future correctly! Rarely have I seen such clear signs of intelligence and ambition in one so young. [From.GetFirstName] is the child that was promised!;;;;;;;;;;;;;x
EVTDESCB_SOH_13305;I am not sure what I was expecting, but this child blinks at me with the most curious eyes. I suddenly feel all my worries wash away. I must have misinterpreted the outcome of my divination.;;;;;;;;;;;;;x
EVTOPTA_SOH_13305;I knew it!;;;;;;;;;;;;;x
EVTOPTB_SOH_13305;I will be the first to admit I was wrong.;;;;;;;;;;;;;x
EVTDESCA_SOH_13306;My worst fears have come true. Behind the dull stare of my newborn baby [From.GetSonDaughter] there can be little in the way of brilliance or even ability. In time I will know for sure but I am already convinced that this is the bad future I divined.;;;;;;;;;;;;;x
EVTDESCB_SOH_13306;I am not sure what I was expecting, but this newborn child blinks at me with the dullest of eyes. I feel my confidence wane as I hold [From.GetHerHim] and I soon give [From.GetHerHim] back to the nurse. I must have misinterpreted the outcome of my divination.;;;;;;;;;;;;;x
EVTOPTA_SOH_13306;There is scarce consolation in this accomplishment.;;;;;;;;;;;;;x
EVTOPTB_SOH_13306;Even a [Root.GetTitle] can be wrong.;;;;;;;;;;;;;x;;;;;;;;;;;;;x
EVTDESCA_SOH_13309;My lover has passed away. I knew it would happen.;;;;;;;;;;;;;x
EVTDESCB_SOH_13309;My lover has passed away. Was this how the outcome of my divination was to be interpreted? How was I to know? Oh, woe is me.;;;;;;;;;;;;;x
EVTOPTA_SOH_13309;Even knowing the future, I could not prevent it.;;;;;;;;;;;;;x
EVTOPTB_SOH_13309;I must have misinterpreted the outcome of my divination. I will do better next time.;;;;;;;;;;;;;x
EVTDESCA_SOH_13310;My dear friend has passed. I knew it would happen.;;;;;;;;;;;;;x
EVTDESCB_SOH_13310;My dear friend has passed. Was this how the outcome of my divination was to be interpreted? How was I to know? Oh, woe is me.;;;;;;;;;;;;;x
EVTOPTA_SOH_13310;Even knowing the future, I could not prevent it.;;;;;;;;;;;;;x
EVTOPTB_SOH_13310;A heavy price, but I must have misinterpreted the outcome of my divination.;;;;;;;;;;;;;x
EVTDESCA_SOH_13311;Hah! My rival has passed. I knew it would happen.;;;;;;;;;;;;;x
EVTDESCB_SOH_13311;My rival has passed. And here I thought something bad would happen!;;;;;;;;;;;;;x
EVTOPTA_SOH_13311;Even knowing the future, I could not predict this overwhelming joy.;;;;;;;;;;;;;x
EVTOPTB_SOH_13311;I am glad I was wrong!;;;;;;;;;;;;;x
EVTDESCA_SOH_13312;My [soh_divination_dead.GetFatherMother] has passed. I knew it would happen.;;;;;;;;;;;;;x
EVTDESCB_SOH_13312;My [soh_divination_dead.GetFatherMother] has passed. Was this how the outcome of my divination was to be interpreted? How was I to know? Oh, woe is me.;;;;;;;;;;;;;x
EVTOPTA_SOH_13312;Even knowing the future, I could not prevent it.;;;;;;;;;;;;;x
EVTOPTB_SOH_13312;A heavy price, but I must have misinterpreted the outcome of my divination.;;;;;;;;;;;;;x
EVTDESCA_SOH_13313;My [soh_divination_dead.GetSonDaughter] has passed. I knew it would happen.;;;;;;;;;;;;;x
EVTDESCB_SOH_13313;My [soh_divination_dead.GetSonDaughter] has passed. Was this how the outcome of my divination was to be interpreted? How was I to know? Oh, woe is me.;;;;;;;;;;;;;x
