EVTDESC_SOH_9203;The archipelago east of Java and the immediately adjacent islands is home to various primitive tribes that should pose no threat to the Middle Kingdom. Unfortunately, they are still somewhat dangerous to the Treasure Fleet, and now they have seen fit to attack the fleet, catching the inattentive guards by surprise.;;;;;;;;;;;;;x
EVTOPTA_SOH_9203;Prepare for battle!;;;;;;;;;;;;;x
EVTOPTB_SOH_9203;Hide!;;;;;;;;;;;;;x
EVTDESC_SOH_9204;Though the initial ferocity of the islanders that attacked the Treasure Fleet was surprising, it did not prove to be sufficient for them to win the day. I and the soldiers aboard rally together, and once we start fighting back in earnest it is only a matter of time before the attackers are slain.;;;;;;;;;;;;;x
EVTOPTA_SOH_9204;Pests taken care of!;;;;;;;;;;;;;x
EVTDESC_SOH_9205;Though the initial ferocity of the islanders that attacked the Treasure Fleet was surprising, it did not prove to be sufficient for them to win the day. Several people are wounded before we manage to drive them off, including me.;;;;;;;;;;;;;x
EVTOPTA_SOH_9205;They fought well...;;;;;;;;;;;;;x
EVTDESC_SOH_9206;Though the initial ferocity of the islanders that attacked the Treasure Fleet was surprising, it did not prove to be sufficient for them to win the day. We prevail in the end, but I take a grievous wound in the fighting.;;;;;;;;;;;;;x
EVTOPTA_SOH_9206;Curses!;;;;;;;;;;;;;x
EVTDESC_SOH_9207;The islanders fight fiercely, and though I and the other defenders on my ship put up a fierce fight we are not strong enough to drive them back. A spear slip past my defenses, and then another, and then another. Before long, I collapse to the deck, bleeding out.;;;;;;;;;;;;;x
EVTOPTA_SOH_9207;Not like this!;;;;;;;;;;;;;x
EVTDESC_SOH_9208;Though the initial ferocity of the islanders that attacked the Treasure Fleet was surprising, it did not prove to be sufficient for them to win the day. The defenders rally and drive them off without any casualties.;;;;;;;;;;;;;x
EVTOPTA_SOH_9208;Phew!;;;;;;;;;;;;;x
EVTDESC_SOH_9209;Though the initial ferocity of the islanders that attacked the Treasure Fleet was surprising, it did not prove to be sufficient for them to win the day. I am injured by one of the attackers despite attempting to hide, but the wound is relatively mild, and the attackers have been driven off.;;;;;;;;;;;;;x
EVTOPTA_SOH_9209;Ow!;;;;;;;;;;;;;x
EVTDESC_SOH_9210;Though the initial ferocity of the islanders that attacked the Treasure Fleet was surprising, it did not prove to be sufficient for them to win the day. While the defenders prevail in the end some of the attackers find me and the others that have attempted to hide from the fighting, and I take a grievous wound.;;;;;;;;;;;;;x
EVTOPTA_SOH_9210;Curses!;;;;;;;;;;;;;x
EVTDESC_SOH_9211;The islanders fight fiercely, and though the defenders fight bravely they are overcome. I attempt to run towards the railing in order to swim towards another ship, but the savages strike me down before I can move very far.;;;;;;;;;;;;;x
EVTOPTA_SOH_9211;Not like this!;;;;;;;;;;;;;x
EVTDESC_SOH_9212;Though the archipelago east of Java is said to be inhabited by a large number of tribes we have so far not encountered any signs of life. As the Treasure Fleet is somewhat dispersed, it is possible that other ships have had more luck, but it almost seems as if the locals intentionally are avoiding us.;;;;;;;;;;;;;x
EVTOPTA_SOH_9212;What are they afraid of?;;;;;;;;;;;;;x
EVTDESC_SOH_9213;One day several small ships come rowing out from one of the islands, heading straight for my ship. One of the islanders requests permission to come aboard, and once aboard he extends an invitation from the chief of his tribe, who apparently wishes to hold a feast for some people from the Treasure Fleet.;;;;;;;;;;;;;x
EVTOPTA_SOH_9213;Certainly!;;;;;;;;;;;;;x
EVTOPTB_SOH_9213;I'll pass!;;;;;;;;;;;;;x
EVTDESC_SOH_9215;The feast the islanders are holding for the Treasure Fleet is surprisingly good, and the food in particular is to my liking.;;;;;;;;;;;;;x
EVTOPTA_SOH_9215;Bring me some more of that!;;;;;;;;;;;;;x
