EVTTITLE_SOH_9502;The Empty Coast;;;;;;;;;;;;;x
EVTDESC_SOH_9502;After many, many weeks at sea with only a few deserted islands being encountered the Treasure Fleet has finally sighted a substantial landmass, and the order has come to head towards it as quickly as possible so that everyone can step ashore for a while.\n\nStrangely enough, the coast also appears to be completely devoid of settlements or even signs of human life, even though it seems impossible that such a large landmass would not be populated. Perhaps there are civilizations found elsewhere in this strange land?;;;;;;;;;;;;;x
EVTOPTA_SOH_9502;Maybe further south?;;;;;;;;;;;;;x
EVTTITLE_SOH_9503;Making Landfall;;;;;;;;;;;;;x
EVTDESC_SOH_9503;The Treasure Fleet has been following the coast for over a week now, and there is still no sign of human life. The matter has been discussed aboard most of the ships, but none have come up with a good reason for why this land is so empty.\n\nEventually, the order is given for the fleet to anchor just off the coast, and an expedition is readied to head further inland. I am among those chosen to take part in this expedition, as are plenty of other notables from the fleet. Just what we will find is uncertain, but hopefully it will be interesting.;;;;;;;;;;;;;x
EVTOPTA_SOH_9503;We head inland!;;;;;;;;;;;;;x
EVTTITLE_SOH_9504;Lines in the Sand;;;;;;;;;;;;;x
EVTDESC_SOH_9504;The expedition from the Treasure Fleet has been moving inland for a number of days when the first signs of human civilization are encountered. The desert we have been walking into appears to have several straight lines carved across it, as well as some that perhaps make out some kind of figures, though just what they might depict is currently unknown.\n\nAfter discussing the matter for a while, it is decided that the expedition will continue into the nearby mountains, as it should be possible to see just what the strange shapes are from up there, possibly along with other signs of civilization.;;;;;;;;;;;;;x
EVTOPTA_SOH_9504;To the mountains!;;;;;;;;;;;;;x
EVTTITLE_SOH_9506;The Pictures Below;;;;;;;;;;;;;x
EVTDESC_SOH_9506;Having made our way up the sides of the nearby mountains, it is possible to make out just what the figures below are supposed to be. I can see some kind of fish, a spider, a monkey, and several other things besides.\n\nJust who made these symbols remains a mystery, however, and as we cannot see any other signs of human civilization regardless of which direction we look in it is decided that it is time to leave this strange, empty land with all due haste, as exploration is not really the Treasure Fleet's mission.;;;;;;;;;;;;;x
EVTOPTA_SOH_9506;Pretty, but useless...;;;;;;;;;;;;;x
