EVTTITLE_SOH_9303;Pillars Touching the Clouds;;;;;;;;;;;;;x
EVTDESC_SOH_9303;Last night, the Treasure Fleet sailed into a thick mist, despite the misgivings of some of the sailors aboard. We have managed to continue east even so, and shortly after dawn the mists started to dissipate, revealing an unexpected sight in front of us.\n\nWe are approaching an island, still some distance away. It is hard to make out any details as of yet, save for there being a majestic mountain at the heart of the island, surrounded by tall pillar-like rock formations that seem to be teeming with vegetation of some kind. Something atop the mountain appears to be gleaming, as if made from metal.;;;;;;;;;;;;;x
EVTOPTA_SOH_9303;Could it be...?;;;;;;;;;;;;;x
EVTOPTB_SOH_9303;This feels familiar...;;;;;;;;;;;;;x
EVTOPTC_SOH_9303;What is this place...?;;;;;;;;;;;;;x
EVTTITLE_SOH_9304;The Ancient Shipwrecks;;;;;;;;;;;;;x
EVTDESC_SOH_9304;As the Treasure Fleet approaches the shore of the mysterious island some of the sailors notice something unexpected and call out. A large number of shipwrecks lie just off the shore, each ship at least as large as those of the Treasure Fleet, all of them looking impossibly ancient.\n\nAs we draw closer, some sharp-eyed scholars aboard manage to decipher the two characters written on the sails of the fleet in ancient seal script and loudly announce what they read: "Qin" and "Han".\n\nIt would seem the decaying ships originated from the Middle Kingdom, though not recently.;;;;;;;;;;;;;x
EVTOPTA_SOH_9304;We must investigate this!;;;;;;;;;;;;;x
EVTOPTB_SOH_9304;This is a bad sign!;;;;;;;;;;;;;x
EVTTITLE_SOH_9306;The Stairway to the Heavens;;;;;;;;;;;;;x
EVTDESC_SOH_9306;The party that headed ashore has now reached the base of the mountain at the center of the island, with the journey so far being most uneventful. So far, no signs of civilization have been encountered since coming ashore, whether along the path the main party has taken or the trails the scouts have followed.\n\nExploring the base of the mountain, it is discovered that its slopes are far too steep to attempt to climb, but that that will not be necessary. Strangely enough, a stone staircase wide enough that a hundred [Root.GetMenWomen] could climb it as one, has been located, leading up the mountain towards the metallic gleam above.;;;;;;;;;;;;;x
EVTOPTA_SOH_9306;We continue on!;;;;;;;;;;;;;x
EVTOPTB_SOH_9306;I will turn back...;;;;;;;;;;;;;x
EVTTITLE_SOH_9307;Palaces of Gold and Silver;;;;;;;;;;;;;x
