EVTDESC_SOH_8105;One day when I am walking around on the deck of the ship I accidentally bump into a sailor that's working on hoisting a crate of supplies aboard from a smaller boat that has rowed across from another ship, startling him and causing him to drop the rope. The supply crate falls into the ocean and sinks to the bottom.;;;;;;;;;;;;;x
EVTOPTA_SOH_8105;I'm so sorry!;;;;;;;;;;;;;x
EVTOPTB_SOH_8105;Don't blame me for this!;;;;;;;;;;;;;x
EVTDESC_SOH_8106;One day when I am walking around on the deck of the ship I accidentally bump into a sailor that's working on hoisting a crate of precious items aboard from a smaller boat that has rowed across from another ship, startling him and causing him to drop the rope. The crate falls into the ocean and sinks to the bottom.;;;;;;;;;;;;;x
EVTOPTA_SOH_8106;I'm so sorry!;;;;;;;;;;;;;x
EVTOPTB_SOH_8106;Don't blame me for this!;;;;;;;;;;;;;x
EVTDESC_SOH_8107;Several of the other officials travelling aboard my ship have decided to hold a small gathering to discuss matters of statecraft together over the next few days. They have seen fit to invite me, of course, though have made it clear that I am free to refuse.;;;;;;;;;;;;;x
EVTOPTA_SOH_8107;That might be fun!;;;;;;;;;;;;;x
EVTOPTB_SOH_8107;That sounds too much like work...;;;;;;;;;;;;;x
EVTDESC_SOH_8108;The discussion goes quite well, and several of those present praise me for the ideas that I present and the answers I make to various questions.;;;;;;;;;;;;;x
EVTOPTA_SOH_8108;That went well!;;;;;;;;;;;;;x
EVTDESC_SOH_8109;The discussion I have with the other officials is quite fruitful, and several concepts that previously have eluded me have become quite a bit clearer.;;;;;;;;;;;;;x
EVTOPTA_SOH_8109;I know so much more now!;;;;;;;;;;;;;x
EVTDESC_SOH_8110;The discussion is rather uneventful. I do not make a fool out of myself, but I also do not learn anything of note, and I doubt that I have impressed anyone present.;;;;;;;;;;;;;x
EVTOPTA_SOH_8110;That could have gone better...;;;;;;;;;;;;;x
EVTDESC_SOH_8111;The discussion does not go at all as I would have expected. Several of those present are far more knowledgeable than I am, and the questions they ask me catch me unprepared. I do my best to answer them, but I can tell that my answers leave the others thoroughly unsatisfied.;;;;;;;;;;;;;x
EVTOPTA_SOH_8111;This was a mistake!;;;;;;;;;;;;;x
EVTDESC_SOH_8112;Several of the other officials travelling aboard my ship have decided to hold a small gathering to discuss matters of warfare together over the next few days. They have seen fit to invite me, of course, though have made it clear that I am free to refuse.;;;;;;;;;;;;;x
EVTOPTA_SOH_8112;That might be fun!;;;;;;;;;;;;;x
EVTOPTB_SOH_8112;That sounds too much like work...;;;;;;;;;;;;;x
EVTDESC_SOH_8113;The discussion goes quite well, and several of those present praise me for the ideas that I present and the answers I make to various questions.;;;;;;;;;;;;;x
EVTOPTA_SOH_8113;That went well!;;;;;;;;;;;;;x
EVTDESC_SOH_8114;The discussion I have with the other officials is quite fruitful, and several concepts that previously have eluded me have become quite a bit clearer.;;;;;;;;;;;;;x
EVTOPTA_SOH_8114;I know so much more now!;;;;;;;;;;;;;x
EVTDESC_SOH_8115;The discussion is rather uneventful. I do not make a fool out of myself, but I also do not learn anything of note, and I doubt that I have impressed anyone present.;;;;;;;;;;;;;x
EVTOPTA_SOH_8115;That could have gone better...;;;;;;;;;;;;;x
EVTDESC_SOH_8116;The discussion does not go at all as I would have expected. Several of those present are far more knowledgeable than I am, and the questions they ask me catch me unprepared. I do my best to answer them, but I can tell that my answers leave the others thoroughly unsatisfied.;;;;;;;;;;;;;x
EVTOPTA_SOH_8116;This was a mistake!;;;;;;;;;;;;;x
EVTDESC_SOH_8117;Several of the other officials travelling aboard my ship have decided to hold a small gathering to discuss matters of economy together over the next few days. They have seen fit to invite me, of course, though have made it clear that I am free to refuse.;;;;;;;;;;;;;x
EVTOPTA_SOH_8117;That might be fun!;;;;;;;;;;;;;x
