EVTDESC_SOH_10101;It is easy enough for me to find several warrior monks from the Sohei willing to teach me various things related to fighting. The only question that remains is what I want to learn.;;;;;;;;;;;;;x
EVTOPTA_SOH_10101;Teach me the Art of War!;;;;;;;;;;;;;x
EVTOPTB_SOH_10101;Teach me how to fight!;;;;;;;;;;;;;x
EVTOPTC_SOH_10101;Teach me how to protect my rule!;;;;;;;;;;;;;x
EVTOPTD_SOH_10101;I think the lesson can wait...;;;;;;;;;;;;;x
EVTDESC_SOH_10102;It is easy enough for me to find several warrior monks from the Shaolin willing to teach me various things related to fighting. The only question that remains is what I want to learn.;;;;;;;;;;;;;x
EVTOPTA_SOH_10102;Teach me the Art of War!;;;;;;;;;;;;;x
EVTOPTB_SOH_10102;Teach me how to fight!;;;;;;;;;;;;;x
EVTOPTC_SOH_10102;Teach me how to protect my rule!;;;;;;;;;;;;;x
EVTOPTD_SOH_10121;I think the lesson can wait...;;;;;;;;;;;;;x
EVTDESC_SOH_10103;The monks that have been teaching me have spent some time reinforcing one of Sun Tzu's lessons, namely that you need to know yourself in order to win a battle.;;;;;;;;;;;;;x
EVTOPTA_SOH_10103;Know yourself!;;;;;;;;;;;;;x
EVTDESC_SOH_10104;The monks that have been teaching me have spent some time reinforcing one of Sun Tzu's lessons, namely that you need to know your enemy in order to win a battle.;;;;;;;;;;;;;x
EVTOPTA_SOH_10104;Know your enemy!;;;;;;;;;;;;;x
EVTDESC_SOH_10105;The monks that have been teaching me have helped me learn how to better motivate the soldiers at my command to fight until the battle is won, even if it seems like it is not going our way.;;;;;;;;;;;;;x
EVTOPTA_SOH_10105;Stand fast!;;;;;;;;;;;;;x
EVTDESC_SOH_10106;The monks that have been teaching me have helped me learn how best to regroup my forces if I am forced to withdraw from a battle, which I suppose might be useful.;;;;;;;;;;;;;x
EVTOPTA_SOH_10106;Rally to me!;;;;;;;;;;;;;x
EVTDESC_SOH_10107;Though I had expected the monks to teach me how to do better on the battlefield, they have instead opted to reinforce another very important lesson from Sun Tzu.;;;;;;;;;;;;;x
EVTOPTA_SOH_10107;It is best to win without fighting!;;;;;;;;;;;;;x
EVTDESC_SOH_10108;I have at times eaten rather more than I probably should have, but thanks to the rigorous training the warrior monks have put me through recently I have started to lose some weight.;;;;;;;;;;;;;x
EVTOPTA_SOH_10108;I have gotten back in shape!;;;;;;;;;;;;;x
EVTDESC_SOH_10109;The training I have received from the warrior monks has perhaps not directly improved my technique, but it has helped me become stronger than before.;;;;;;;;;;;;;x
EVTOPTA_SOH_10109;I feel powerful!;;;;;;;;;;;;;x
EVTDESC_SOH_10110;Though any opponents I might need to face in personal combat might fight differently than the warrior monks that have been teaching me, I think I would fare fairly well against them after my recent lessons.;;;;;;;;;;;;;x
EVTOPTA_SOH_10110;I learned a few useful tricks!;;;;;;;;;;;;;x
EVTDESC_SOH_10111;The lessons I have received from the warrior monks have sometimes been a bit hard to grasp, but I have picked up a few useful tricks that I might be able to make use of in the near future.;;;;;;;;;;;;;x
EVTOPTA_SOH_10111;I will try to remember this...;;;;;;;;;;;;;x
EVTDESC_SOH_10112;The warrior monks have taught me several useful tricks that would serve me well should I find myself at risk due to an assassination attempt. They might be less useful on the field of battle, however.;;;;;;;;;;;;;x
EVTOPTA_SOH_10112;This will make me safer!;;;;;;;;;;;;;x
EVTDESC_SOH_10113;The warrior monks have spent some time teaching me how to make the best use of my forces when trying to catch a criminal, which undoubtedly could be useful should I have cause to have someone arrested.;;;;;;;;;;;;;x
EVTOPTA_SOH_10113;Stop right there, criminal scum!;;;;;;;;;;;;;x
EVTTITLE_SOH_10116;The Sohei;;;;;;;;;;;;;x
EVTDESC_SOH_10116;Fearing that the Buddhist faithful might not always see their interests taken care of in the Land of the Rising Sun [From.GetBestName] has taken the initiative to organize a brotherhood of warrior monks to safeguard those interests.\n\nNaming itself the Sohei, this warrior brotherhood is still in its infancy, and it is hard to say just what form their protection of the interests of the Buddhist religion will take, but it would be foolhardy to question the zeal of those who have seen fit to join its ranks.;;;;;;;;;;;;;x
EVTOPTA_SOH_10116;Their protection is welcome!;;;;;;;;;;;;;x
EVTOPTB_SOH_10116;I suppose this is good...;;;;;;;;;;;;;x
EVTOPTC_SOH_10116;Let's hope they behave...;;;;;;;;;;;;;x
EVTOPTD_SOH_10116;This could be bad...;;;;;;;;;;;;;x
EVTTITLE_SOH_10117;The Sohei;;;;;;;;;;;;;x
EVTDESC_SOH_10117;A new brotherhood of Buddhist warrior monks has been created, named the Sohei. They have let it be known that they wish to safeguard Buddhist interests in the Land of the Rising Sun.\n\nIt is hard to say just what form their protection of the interests of the Buddhist religion will take, but it would be foolhardy to question the zeal of those who have seen fit to join the ranks of the Sohei.;;;;;;;;;;;;;x
EVTOPTA_SOH_10117;Their protection is welcome!;;;;;;;;;;;;;x
EVTOPTB_SOH_10117;I suppose this is good...;;;;;;;;;;;;;x
EVTOPTC_SOH_10117;Let's hope they behave...;;;;;;;;;;;;;x
EVTOPTD_SOH_10117;This could be bad...;;;;;;;;;;;;;x
EVTOPTE_SOH_10117;The gift of a few temples should keep them in line...;;;;;;;;;;;;;x
