EVTDESC_SOH_2701;[Root.GetSocietyRank] [Root.GetFirstName],\nI write to you to request that you become my mentor so that I may learn the ways of the Warriors of the Rising Sun and prove myself worthy so that I one day may ascend to a higher rank.\nBy my hand and seal,\n[FromFrom.GetSocietyRank] [FromFrom.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_SOH_2701;Of course!;;;;;;;;;;;;;x
EVTOPTB_SOH_2701;Prove that you're good enough to be my student first!;;;;;;;;;;;;;x
EVTOPTC_SOH_2701;I will do it, if you pay me...;;;;;;;;;;;;;x
EVTOPTD_SOH_2701;I will do it... for a Favor!;;;;;;;;;;;;;x
EVTOPTE_SOH_2701;I think not!;;;;;;;;;;;;;x
EVTDESC_SOH_2702;[Root.GetSocietyRank] [Root.GetFirstName],\nIt would be a pleasure to mentor you in the ways of the Warriors of the Rising Sun. I will begin preparing a lesson plan right away.\nBy my hand and seal,\n[From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_SOH_2702;Sounds good to me!;;;;;;;;;;;;;x
EVTDESC_SOH_2703;[Root.GetSocietyRank] [Root.GetFirstName],\nI might be prepared to mentor you in the ways of the Warriors of the Rising Sun as you ask, but first you will have to show me that you have what it takes to be my student.\nBy my hand and seal,\n[From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_SOH_2703;Very well!;;;;;;;;;;;;;x
EVTOPTB_SOH_2703;I have nothing to prove to you!;;;;;;;;;;;;;x
EVTDESC_SOH_2704;[Root.GetSocietyRank] [Root.GetFirstName],\nI am a busy [From.GetManWoman] and am uncertain as to whether I would be able to find the time to mentor you. However, in exchange for a small sum of gold I believe I can find the time...\nBy my hand and seal,\n[From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_SOH_2704;I suppose that's fine...;;;;;;;;;;;;;x
EVTOPTB_SOH_2704;I don't think so!;;;;;;;;;;;;;x
EVTDESC_SOH_2705;[Root.GetSocietyRank] [Root.GetFirstName],\nI can see why you would want me to mentor you in the ways of the Warriors of the Rising Sun, and I might be willing to do you that favor, but in that case I would ask a favor in return at a later date...\nBy my hand and seal,\n[From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_SOH_2705;I think that's reasonable!;;;;;;;;;;;;;x
EVTOPTB_SOH_2705;Not happening!;;;;;;;;;;;;;x
EVTDESC_SOH_2706;[Root.GetSocietyRank] [Root.GetFirstName],\nYou may have been allowed to join the ranks of the Warriors of the Rising Sun, but that is not sufficient reason for me to teach you. You will have to find someone else to teach you!\nBy my hand and seal,\n[From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_SOH_2706;How rude!;;;;;;;;;;;;;x
EVTDESC_SOH_2707;[From.GetBestName] arrives without delay and eagerly shows me what [From.GetSheHe] is capable of as a warrior. In my experience, new members of the Warriors of the Rising Sun are generally somewhat lacking in skill regardless of their background, but [From.GetBestName] is possibly more skilled than I am.;;;;;;;;;;;;;x
EVTOPTA_SOH_2707;I should suggest an even better mentor...;;;;;;;;;;;;;x
EVTOPTB_SOH_2707;I can probably give [From.GetHerHim] a few tips...;;;;;;;;;;;;;x
EVTOPTC_SOH_2707;I don't really think I want to teach [From.GetHerHim]...;;;;;;;;;;;;;x
EVTDESC_SOH_2708;[From.GetBestName] arrives without delay and eagerly shows me what [From.GetSheHe] is capable of as a warrior. While I notice some areas where [From.GetSheHe] might be lacking, [From.GetSheHe] does quite well, and it is clear that those that have given [From.GetBestName] lessons in the past left little for me to help [From.GetHerHim] improve on.;;;;;;;;;;;;;x
EVTOPTA_SOH_2708;I will take [From.GetHerHim] on as a student!;;;;;;;;;;;;;x
EVTOPTB_SOH_2708;I think this would be a waste of my time...;;;;;;;;;;;;;x
EVTDESC_SOH_2709;[From.GetBestName] arrives without delay and eagerly shows me what [From.GetSheHe] is capable of as a warrior. I notice some flaws, but also some strengths, and in my opinion [From.GetBestName] is about as skilled as the average new member of the Warriors of the Rising Sun tends to be. I could certainly help [From.GetHerHim] improve a bit.;;;;;;;;;;;;;x
EVTOPTA_SOH_2709;[From.GetSheHeCap] would be a good student for me!;;;;;;;;;;;;;x
EVTOPTB_SOH_2709;I would rather not teach [From.GetHerHim]...;;;;;;;;;;;;;x
EVTDESC_SOH_2710;[From.GetBestName] arrives without delay and eagerly shows me what [From.GetSheHe] is capable of as a warrior. I notice a few promising areas, but on the whole [From.GetSheHe] is a rather poor warrior, and it would likely take quite some work to help [From.GetHerHim] improve to the point where [From.GetSheHe] would perform adequately.;;;;;;;;;;;;;x
EVTOPTA_SOH_2710;I'm willing to teach [From.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTB_SOH_2710;Teaching [From.GetHerHim] would be too much work...;;;;;;;;;;;;;x
EVTDESC_SOH_2711;[From.GetBestName] arrives without delay and eagerly shows me what [From.GetSheHe] is capable of as a warrior. To call [From.GetHerHis] performance "bad" would be charitable, to say the least, and it would doubtlessly be a major undertaking to make [From.GetHerHim] perform at even the lowest level I would deem acceptable for a Warrior of the Rising Sun.;;;;;;;;;;;;;x
EVTOPTA_SOH_2711;I do like a challenge!;;;;;;;;;;;;;x
EVTOPTB_SOH_2711;[From.GetSheHeCap] is not worth my time!;;;;;;;;;;;;;x
EVTDESC_SOH_2712;Despite giving [From.GetBestName] a fair opportunity to prove [From.GetHerselfHimself] worthy of being my student, which certainly was not out of order, [From.GetSheHe] does not agree to show me what [From.GetSheHe] is capable of. It seems [From.GetSheHe] was under the impression that all [From.GetSheHe] had to do was ask.;;;;;;;;;;;;;x
EVTOPTA_SOH_2712;In that case, I must refuse!;;;;;;;;;;;;;x
EVTDESC_SOH_2713;It seems I have impressed [From.GetBestName] with my skills as [From.GetSheHe] informs me that [From.GetSheHe] is uncertain [From.GetSheHe] could teach me much. [From.GetSheHeCap] thinks that [better_mentor.GetBestName] might be a better mentor, and has offered to ask [better_mentor.GetHerHim] to become my mentor.;;;;;;;;;;;;;x
EVTOPTA_SOH_2713;Sounds like a plan!;;;;;;;;;;;;;x
EVTOPTB_SOH_2713;No, I want you to teach me!;;;;;;;;;;;;;x
