EVTDESC_TIANXIA_1201;When travelling in [thuan_thien_province.GetName] I came across an old fisherman. He was quite pleased by our meeting, saying that it was a good omen. In return for the meeting, he offered me a meal at his home. A strange invitation, perhaps, but perhaps also an opportunity to learn more about my subjects.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1201;Certainly! Take me to your home!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1201;I'm afraid I have other plans...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1202;As we reached the fisherman's home he immediately started preparing a drink for me. I asked him what it was, and he told me that it was a traditional brew in these parts, and that I had a once-in-a-lifetime opportunity to taste it.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1202;That sounds lovely!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1202;I'm not thirsty...;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_1202;Is the poison also traditional?;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1203;The drink has an odd taste that I cannot quite place, but it is still fairly pleasant. I finish it fairly quickly, thanking my host. He suggests that maybe I should take a seat. The poison, he tells me, will take effect momentarily...;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1203;Not... like...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1204;The drink has an odd taste that I cannot quite place, but it is still fairly pleasant... at first. It makes me queasy, and I hurriedly excuse myself, feeling the need to vomit. When I return, my host looks somewhat disappointed, and I do not find myself enjoying the meal in his company.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1204;This evening could have gone better...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1205;I politely refuse the drink, even though my host keeps trying to offer it to me. He finally lets out a sigh and goes to prepare the food, which is bland but filling. The evening is rather uneventful, and possibly a waste.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1205;Well, that's that...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1206;I signal my bodyguards as I make my accusation, and they enter before the fisherman can attempt any further harm. He does not even bother to protest his innocence, and his execution is swift. As I prepare to depart I notice that the man's neighbours do not appear to be pleased.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1206;But I dealt with a criminal!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1207;The fisherman's house is very small, and I order my guards and servants to stay outside once it has been determined that no ambush waits inside. I enter ahead of the fisherman and hear him bar the door behind him. Turning around, I see him pulling free a dagger.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1207;How could I have missed this?;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1208;The treacherous fisherman turns out to be a very poor fighter, and I easily dodge his blows while drawing my sword. After that, the fight is quick and ends with his death.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1208;Thus, always, to traitors!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1209;The fisherman's first strike takes me by surprise, wounding me before I can back away. However, he is not skilled enough to finish the job, and once I have pulled free my sword the fight swiftly goes my way.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1209;'Tis but a scratch!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1210;The fisherman has the element of surprise, and he inflicts a grievous wound on me before I can back away. I do, however, manage to free my sword after that, and though he does not go down easily I eventually win the fight.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1210;That... was close...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1211;I scream for my guards and attempt to back away and draw my sword, but the fisherman is far too quick, and I suffer a fatal wound in short order. I get the sword free from my scabbard and can hear the guards trying to get inside, but my strength is fading along with my vision...;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1211;Not... like...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1212;The fisherman wastes no time when it comes to the food preparations once we have arrived at his house. He cooks up a stew of some kind, and serves me and my guards generous portions. It is clearly not a fish stew.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1212;Guards, arrest that man!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1212;Actually, I am not hungry...;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_1212;I am open to trying new things!;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_1212;Finally a proper meal!;;;;;;;;;;;;;x
EVTOPTE_TIANXIA_1212;Time to eat!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1213;The fisherman's protests are for naught as my servants quickly uncover the butchered corpses of several humans behind his house. As preparations are being made to bring him before the nearest magistrate, I learn that some of the bodies have been identified as locals that have gone missing recently.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1213;I think the trial will be swift...;;;;;;;;;;;;;x
