EVTDESC_TIANXIA_1701;Shortly after the death of [FromFrom.GetBestName] I was approached by a servant carrying a newborn child. The child looked a bit like [FromFrom.GetBestName], and the servant asked if it is possible that [FromFrom.GetSheHe] might have been reborn as little [From.GetFirstName].;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1701;Truly the child is [FromFrom.GetBestName] reborn!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1701;If this child is related to me, it is clearly someone's bastard!;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_1701;This is just a trick!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1713;Several prominent merchants in [Root.GetName] have presented a petition to request the financing of a vastly expanded marketpace in the province to encourage more trade along that particular stretch of the Silk Road.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1713;More trade would benefit me greatly!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1713;I think I will spend the money on other things...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1714;I have been approached with a proposal to construct a Paper Mill in [Root.GetName]. If the predictions I have seen are to be believed, this would benefit both me and the people of [Root.GetName].;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1714;Make it so!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1714;I'd rather keep the money...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1715;I have been approached with a proposal to establish a Fireworks Guild in [Root.GetName]. If the predictions I have seen are to be believed, this would benefit both me and the people of [Root.GetName].;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1715;Make it so!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1715;I'd rather keep the money...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1716;I have been approached with a proposal to establish an Administrative Outpost in [Root.GetName]. If the predictions I have seen are to be believed, this would benefit both me and the people of [Root.GetName].;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1716;Make it so!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1716;I'd rather keep the money...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1717;I have been approached with a proposal to construct a Blast Furnace in [Root.GetName]. If the predictions I have seen are to be believed, this would benefit both me and the people of [Root.GetName].;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1717;Make it so!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1717;I'd rather keep the money...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1718;I have been approached with a proposal to construct some Dry Docks in [Root.GetName]. If the predictions I have seen are to be believed, this would benefit both me and the people of [Root.GetName].;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1718;Make it so!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1718;I'd rather keep the money...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1719;To my great surprise, I was asked to dance by [From.GetBestName]. I had thought that someone with only one leg would be a terrible dancer, but I was pleasantly surprised.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1719;That was rather fun!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1720;To my great surprise, I was asked to dance by [From.GetBestName]. Less surprising, [From.GetHerHim] only having one leg made it all rather embarrassing.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1720;I will not be dancing with [From.GetHerHim] again...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1721;The Glorious Monument in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1722;The Merchant Harbor in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1723;The Scholar Foundation in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1724;The Great Library in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1725;The Center of Worship in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1726;The Logging Company in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1727;The Ore Mine in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1728;The Regimental Grounds in [Root.GetName] have been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1729;The Silk Road Market in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1730;The Paper Mill in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1731;The Fireworks Guild in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1732;The Administrative Outpost in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1733;The Blast Furnace in [Root.GetName] has been destroyed.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1734;The Dry Docks in [Root.GetName] have been destroyed.;;;;;;;;;;;;;x
