#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Sea zones
PROV1995;Coast of Socotra;;;;;;;;;;;;;x
PROV1996;Southern Coast of Busaro;;;;;;;;;;;;;x
PROV1997;Coast of Garoowe;;;;;;;;;;;;;x
PROV1998;Horn of Africa;;;;;;;;;;;;;x
PROV1999;Indian Ocean;;;;;;;;;;;;;x
PROV2000;Arakanese Coast;;;;;;;;;;;;;x
PROV2001;Irrawady Delta;;;;;;;;;;;;;x
PROV2002;Western Andaman Sea;;;;;;;;;;;;;x
PROV2003;Nicobar Islands;;;;;;;;;;;;;x
PROV2004;Eastern Andaman Sea;;;;;;;;;;;;;x
PROV2005;Southern Andaman Sea;;;;;;;;;;;;;x
PROV2006;Coast of Pasai;;;;;;;;;;;;;x
PROV2007;Northern Strait of Malacca;;;;;;;;;;;;;x
PROV2008;Southern Strait of Malacca;;;;;;;;;;;;;x
PROV2009;Straits of Johor;;;;;;;;;;;;;x
PROV2010;Coast of Lamuri;;;;;;;;;;;;;x
PROV2011;Coast of Simeulue;;;;;;;;;;;;;x
PROV2012;Coast of Tanahbala;;;;;;;;;;;;;x
PROV2013;Coast of Mentawai;;;;;;;;;;;;;x
PROV2014;Enggano Island;;;;;;;;;;;;;x
PROV2015;Semangka Bay;;;;;;;;;;;;;x
PROV2016;Southern Sunda Strait;;;;;;;;;;;;;x
PROV2017;Northern Sunda Strait;;;;;;;;;;;;;x
PROV2018;Coast of Kawali;;;;;;;;;;;;;x
PROV2019;Coast of Pajang;;;;;;;;;;;;;x
PROV2020;Coast of Blambangan;;;;;;;;;;;;;x
PROV2021;Coast of Bali;;;;;;;;;;;;;x
PROV2022;Southern Coast of Sumbawa;;;;;;;;;;;;;x
PROV2023;Coast of Sumbawa;;;;;;;;;;;;;x
PROV2024;Northern Coast of Sumbawa;;;;;;;;;;;;;x
PROV2025;Flores Sea;;;;;;;;;;;;;x
PROV2026;Coast of Mandar;;;;;;;;;;;;;x
PROV2027;Coast of Mamuju;;;;;;;;;;;;;x
PROV2028;Southern Makassar Strait;;;;;;;;;;;;;x
PROV2029;Coast of Paser;;;;;;;;;;;;;x
PROV2030;Coast of Kotabaru;;;;;;;;;;;;;x
PROV2031;Coast of Kapuas;;;;;;;;;;;;;x
PROV2032;Coast of Katingan;;;;;;;;;;;;;x
PROV2033;Java Sea;;;;;;;;;;;;;x
PROV2034;Strait of Madura;;;;;;;;;;;;;x
PROV2035;Coast of Seruyan;;;;;;;;;;;;;x
PROV2036;Java Sea;;;;;;;;;;;;;x
PROV2037;Coast of Demak;;;;;;;;;;;;;x
PROV2038;Coast of Sukadana;;;;;;;;;;;;;x
PROV2039;Coast of Cirebon;;;;;;;;;;;;;x
PROV2040;Eastern Karimata Strait;;;;;;;;;;;;;x
PROV2041;Western Karimata Strait;;;;;;;;;;;;;x
PROV2042;Coast of Belitung;;;;;;;;;;;;;x
PROV2043;Southern Coast of Sambas;;;;;;;;;;;;;x
PROV2044;Riau Strait;;;;;;;;;;;;;x
PROV2045;Coast of Palembang;;;;;;;;;;;;;x
PROV2046;Northern Riau Archipelago;;;;;;;;;;;;;x
PROV2047;Southern Riau Archipelago;;;;;;;;;;;;;x
PROV2048;Northern Coast of Sambas;;;;;;;;;;;;;x
PROV2049;Coast of Bintulu;;;;;;;;;;;;;x
PROV2050;Coast of Natuna;;;;;;;;;;;;;x
PROV2051;Coast of Kuantan;;;;;;;;;;;;;x
PROV2052;Coast of Pattani;;;;;;;;;;;;;x
PROV2053;Coast of Chaiya;;;;;;;;;;;;;x
PROV2054;Gulf of Siam;;;;;;;;;;;;;x
PROV2055;Coast of Cambodia;;;;;;;;;;;;;x
PROV2056;Cape Cà Mau;;;;;;;;;;;;;x
PROV2057;Coast of Limbang;;;;;;;;;;;;;x
PROV2058;South China Sea;;;;;;;;;;;;;x
PROV2059;Cam Ranh Bay;;;;;;;;;;;;;x
PROV2060;Coast of Vijaya;;;;;;;;;;;;;x
PROV2061;Northern Coast of Champa;;;;;;;;;;;;;x
PROV2062;Coast of Hue;;;;;;;;;;;;;x
PROV2063;Gulf of Tonkin;;;;;;;;;;;;;x
PROV2064;Northern Gulf of Tonkin;;;;;;;;;;;;;x
PROV2065;Coast of Hainan;;;;;;;;;;;;;x
PROV2066;Coast of Zhanjiang;;;;;;;;;;;;;x
PROV2067;South China Sea;;;;;;;;;;;;;x
PROV2068;South China Sea;;;;;;;;;;;;;x
PROV2069;South China Sea;;;;;;;;;;;;;x
PROV2070;Coast of Kota Marudu;;;;;;;;;;;;;x
PROV2071;South Palawan Passage;;;;;;;;;;;;;x
PROV2072;North Palawan Passage;;;;;;;;;;;;;x
PROV2073;Northern Makassar Strait;;;;;;;;;;;;;x
PROV2074;Coast of Bulungan;;;;;;;;;;;;;x
PROV2075;Coast of Tarakan;;;;;;;;;;;;;x
PROV2076;Western Sulu Sea;;;;;;;;;;;;;x
PROV2077;Coast of Gorontalo;;;;;;;;;;;;;x
PROV2078;Western Gulf of Tomini;;;;;;;;;;;;;x
PROV2079;Eastern Gulf of Tomini;;;;;;;;;;;;;x
PROV2080;Banda Sea;;;;;;;;;;;;;x
PROV2081;Molucca Sea;;;;;;;;;;;;;x
PROV2082;Coast of Manadou;;;;;;;;;;;;;x
PROV2083;Celebes Sea;;;;;;;;;;;;;x
PROV2084;Moro Gulf;;;;;;;;;;;;;x
PROV2085;Eastern Sulu Sea;;;;;;;;;;;;;x
PROV2086;Coast of Madja;;;;;;;;;;;;;x
PROV2087;Southern Coast of Panay;;;;;;;;;;;;;x
PROV2088;South China Sea;;;;;;;;;;;;;x
PROV2089;Southern Bohol Sea;;;;;;;;;;;;;x
PROV2090;Ilolio Strait;;;;;;;;;;;;;x
PROV2091;Northern Bohol Sea;;;;;;;;;;;;;x
PROV2092;Surigao Strait;;;;;;;;;;;;;x
PROV2093;Leyte Gulf;;;;;;;;;;;;;x
PROV2094;Coast of Samar;;;;;;;;;;;;;x
PROV2095;Visayan Sea;;;;;;;;;;;;;x
PROV2096;Coast of Palapag;;;;;;;;;;;;;x
PROV2097;Coast of Bayombong;;;;;;;;;;;;;x
PROV2098;Mindoro Strait;;;;;;;;;;;;;x
PROV2099;Northern Coast of Panay;;;;;;;;;;;;;x
PROV2100;Sibuyan Sea;;;;;;;;;;;;;x
PROV2101;Coast of Tondo;;;;;;;;;;;;;x
PROV2102;Coast of Bataan;;;;;;;;;;;;;x
PROV2103;Coast of Lallo;;;;;;;;;;;;;x
PROV2104;Coast of Samtoy;;;;;;;;;;;;;x
PROV2105;Luzon Strait;;;;;;;;;;;;;x
PROV2106;Coast of Taitung;;;;;;;;;;;;;x
PROV2107;Pacific Ocean;;;;;;;;;;;;;x
PROV2108;South China Sea;;;;;;;;;;;;;x
PROV2109;Guangzhou Bay;;;;;;;;;;;;;x
PROV2110;Coast of Jieyang;;;;;;;;;;;;;x
PROV2111;Strait of Taiwan;;;;;;;;;;;;;x
PROV2112;Coast of Wenzhou;;;;;;;;;;;;;x
PROV2113;Coast of Hai'an;;;;;;;;;;;;;x
PROV2114;Coast of Taipei;;;;;;;;;;;;;x
PROV2115;Coast of Yaeyama;;;;;;;;;;;;;x
PROV2116;Coast of Ryukyu;;;;;;;;;;;;;x
PROV2117;Coast of Amami;;;;;;;;;;;;;x
PROV2118;Kagoshima Bay;;;;;;;;;;;;;x
PROV2119;Coast of Taizhou;;;;;;;;;;;;;x
PROV2120;East China Sea;;;;;;;;;;;;;x
PROV2121;Hangzhou Bay;;;;;;;;;;;;;x
PROV2122;Coast of Jeju;;;;;;;;;;;;;x
PROV2123;East China Sea;;;;;;;;;;;;;x
PROV2124;Southwestern Yellow Sea;;;;;;;;;;;;;x
PROV2125;Southeastern Yellow Sea;;;;;;;;;;;;;x
PROV2126;Coast of Qingdao;;;;;;;;;;;;;x
PROV2127;Bohai Strait;;;;;;;;;;;;;x
PROV2128;Bohai Sea;;;;;;;;;;;;;x
PROV2129;Liaodong Bay;;;;;;;;;;;;;x
PROV2130;Korea Bay;;;;;;;;;;;;;x
PROV2131;Gyeongwon Bay;;;;;;;;;;;;;x
PROV2132;Western Coast of Korea;;;;;;;;;;;;;x
PROV2133;Yatsushiro Sea;;;;;;;;;;;;;x
PROV2134;Korea Strait;;;;;;;;;;;;;x
PROV2135;Coast of Hyuga;;;;;;;;;;;;;x
PROV2136;Coast of Shikoku;;;;;;;;;;;;;x
PROV2137;Hoyo Strait;;;;;;;;;;;;;x
PROV2138;Seto Inland Sea;;;;;;;;;;;;;x
PROV2139;Kii Channel;;;;;;;;;;;;;x
PROV2140;Pacific Ocean;;;;;;;;;;;;;x
PROV2141;Coast of Nankai;;;;;;;;;;;;;x
PROV2142;Pacific Ocean;;;;;;;;;;;;;x
PROV2143;Tsushima Strait;;;;;;;;;;;;;x
PROV2144;Tsushima Basin;;;;;;;;;;;;;x
PROV2145;Eastern Coast of Korea;;;;;;;;;;;;;x
PROV2146;Coast of Wonsan;;;;;;;;;;;;;x
PROV2147;Coast of Iwami;;;;;;;;;;;;;x
PROV2148;Coast of Ulleung;;;;;;;;;;;;;x
PROV2149;Western Sea of Japan;;;;;;;;;;;;;x
PROV2150;Coast of Tanchon;;;;;;;;;;;;;x
PROV2151;Coast of Sanggyeong;;;;;;;;;;;;;x
PROV2152;Coast of Oki;;;;;;;;;;;;;x
PROV2153;Yamato Basin;;;;;;;;;;;;;x
PROV2154;Coast of Echizen;;;;;;;;;;;;;x
PROV2155;Sea of Japan;;;;;;;;;;;;;x
PROV2156;Coast of Owari;;;;;;;;;;;;;x
PROV2157;Coast of Tokai;;;;;;;;;;;;;x
PROV2158;Coast of Fusa;;;;;;;;;;;;;x
PROV2159;Coast of Iwaki;;;;;;;;;;;;;x
PROV2160;Coast of Echigo;;;;;;;;;;;;;x
PROV2161;Coast of Dewa;;;;;;;;;;;;;x
PROV2162;Eastern Sea of Japan;;;;;;;;;;;;;x
PROV2163;Tsugaru Strait;;;;;;;;;;;;;x
PROV2164;Coast of Rikutyu;;;;;;;;;;;;;x
PROV2165;Coast of Anbyeon;;;;;;;;;;;;;x
PROV2166;Uchiura Bay;;;;;;;;;;;;;x
PROV2167;Pacific Ocean;;;;;;;;;;;;;x
PROV2168;Coast of Tokachi;;;;;;;;;;;;;x
PROV2169;Coast of Shiribeshi;;;;;;;;;;;;;x
PROV2170;Ainu Strait;;;;;;;;;;;;;x
PROV2171;Southern Sakhalin Strait;;;;;;;;;;;;;x
PROV2172;Northern Sakhalin Strait;;;;;;;;;;;;;x
PROV2173;Soya Strait;;;;;;;;;;;;;x
PROV2174;Coast of Sakhalin;;;;;;;;;;;;;x
PROV2175;Coast of Laha;;;;;;;;;;;;;x
PROV2176;Western Coast of Chupka;;;;;;;;;;;;;x
PROV2177;Eastern Coast of Chupka;;;;;;;;;;;;;x
PROV2178;Coast of Kamchatka;;;;;;;;;;;;;x
PROV2179;Sea of Kamchatka;;;;;;;;;;;;;x
# Greenland
PROV2180;Greenland;;;;;;;;;;;;;x
# Major rivers
PROV2181;Chao Praya River;;;;;;;;;;;;;x
PROV2182;Chao Praya River;;;;;;;;;;;;;x
PROV2183;Mekong River;;;;;;;;;;;;;x
PROV2184;Mekong River;;;;;;;;;;;;;x
PROV2185;Mekong River;;;;;;;;;;;;;x
PROV2186;Mekong River;;;;;;;;;;;;;x
PROV2187;Mekong River;;;;;;;;;;;;;x
PROV2188;Mekong River;;;;;;;;;;;;;x
PROV2189;Mekong River;;;;;;;;;;;;;x
PROV2190;Mekong River;;;;;;;;;;;;;x
PROV2191;Mekong River;;;;;;;;;;;;;x
PROV2192;Mekong River;;;;;;;;;;;;;x
PROV2193;Mekong River;;;;;;;;;;;;;x
PROV2194;Xijiang River;;;;;;;;;;;;;x
PROV2195;Xijiang River;;;;;;;;;;;;;x
PROV2196;Xijiang River;;;;;;;;;;;;;x
PROV2197;Xijiang River;;;;;;;;;;;;;x
PROV2198;Xijiang River;;;;;;;;;;;;;x
PROV2199;Xijiang River;;;;;;;;;;;;;x
PROV2200;Xijiang River;;;;;;;;;;;;;x
PROV2201;Yangtze River;;;;;;;;;;;;;x
PROV2202;Yangtze River;;;;;;;;;;;;;x
PROV2203;Yangtze River;;;;;;;;;;;;;x
PROV2204;Yangtze River;;;;;;;;;;;;;x
PROV2205;Yangtze River;;;;;;;;;;;;;x
PROV2206;Yangtze River;;;;;;;;;;;;;x
PROV2207;Yangtze River;;;;;;;;;;;;;x
PROV2208;Yangtze River;;;;;;;;;;;;;x
PROV2209;Yangtze River;;;;;;;;;;;;;x
PROV2210;Yangtze River;;;;;;;;;;;;;x
PROV2211;Yangtze River;;;;;;;;;;;;;x
PROV2212;Yangtze River;;;;;;;;;;;;;x
PROV2213;Yangtze River;;;;;;;;;;;;;x
PROV2214;Yangtze River;;;;;;;;;;;;;x
PROV2215;Yangtze River;;;;;;;;;;;;;x
PROV2216;Yangtze River;;;;;;;;;;;;;x
PROV2217;Huang He River;;;;;;;;;;;;;x
PROV2218;Huang He River;;;;;;;;;;;;;x
PROV2219;Huang He River;;;;;;;;;;;;;x
PROV2220;Huang He River;;;;;;;;;;;;;x
PROV2221;Huang He River;;;;;;;;;;;;;x
PROV2222;Huang He River;;;;;;;;;;;;;x
PROV2223;Huang He River;;;;;;;;;;;;;x
PROV2224;Huang He River;;;;;;;;;;;;;x
# Lakes
PROV2225;Lake Toba;;;;;;;;;;;;;x
PROV2226;Tonlé Sap;;;;;;;;;;;;;x
PROV2227;Dongting Lake;;;;;;;;;;;;;x
PROV2228;Poyang Lake;;;;;;;;;;;;;x
PROV2229;Lake Taihu;;;;;;;;;;;;;x
PROV2230;Lake Hongze;;;;;;;;;;;;;x
PROV2231;Lake Xingkai;;;;;;;;;;;;;x
PROV2232;Lake Biwa;;;;;;;;;;;;;x
# West + Central Africa
PROV2233;Yola;;;;;;;;;;;;;x
PROV2234;Wukari;;;;;;;;;;;;;x
PROV2235;Zazzau;;;;;;;;;;;;;x
PROV2236;Igala;;;;;;;;;;;;;x
PROV2237;Nupe;;;;;;;;;;;;;x
PROV2238;Oyo;;;;;;;;;;;;;x
PROV2239;Mossi;;;;;;;;;;;;;x
PROV2240;Borgu;;;;;;;;;;;;;x
PROV2241;Atakora;;;;;;;;;;;;;x
PROV2242;Abomey;;;;;;;;;;;;;x
PROV2243;Tenkodogo;;;;;;;;;;;;;x
PROV2244;Dagbon;;;;;;;;;;;;;x
PROV2245;Kumasi;;;;;;;;;;;;;x
PROV2246;Lobi;;;;;;;;;;;;;x
PROV2247;Bonoman;;;;;;;;;;;;;x
PROV2248;Kong;;;;;;;;;;;;;x
PROV2249;Bagoe;;;;;;;;;;;;;x
PROV2250;Futa Jallon;;;;;;;;;;;;;x
PROV2251;Beafada;;;;;;;;;;;;;x
PROV2252;Guinea;;;;;;;;;;;;;x
# East Africa
PROV2253;Gambela;;;;;;;;;;;;;x
PROV2254;Kaffa;;;;;;;;;;;;;x
PROV2255;Ennarea;;;;;;;;;;;;;x
PROV2256;Janjilo;;;;;;;;;;;;;x
PROV2257;Welayta;;;;;;;;;;;;;x
PROV2258;Hadiya;;;;;;;;;;;;;x
PROV2259;Sidamo;;;;;;;;;;;;;x
PROV2260;Arsi;;;;;;;;;;;;;x
PROV2261;Dawaro;;;;;;;;;;;;;x
PROV2262;Degehabur;;;;;;;;;;;;;x
PROV2263;Togdheer;;;;;;;;;;;;;x
PROV2264;Qardho;;;;;;;;;;;;;x
PROV2265;Garoowe;;;;;;;;;;;;;x
# Sumatra + Andamans
PROV2266;Andaman;;;;;;;;;;;;;x
PROV2267;Nicobar;;;;;;;;;;;;;x
PROV2268;Lamuri;;;;;;;;;;;;;x
PROV2269;Pasai;;;;;;;;;;;;;x
PROV2270;Lamun;;;;;;;;;;;;;x
PROV2271;Perlak;;;;;;;;;;;;;x
PROV2272;Gayo;;;;;;;;;;;;;x
PROV2273;Singkil;;;;;;;;;;;;;x
PROV2274;Peureulak;;;;;;;;;;;;;x
PROV2275;Aru;;;;;;;;;;;;;x
PROV2276;Barus;;;;;;;;;;;;;x
PROV2277;Simeulue;;;;;;;;;;;;;x
PROV2278;Nias;;;;;;;;;;;;;x
PROV2279;Tanahbala;;;;;;;;;;;;;x
PROV2280;Mandailing;;;;;;;;;;;;;x
PROV2281;Panai;;;;;;;;;;;;;x
PROV2282;Siberut;;;;;;;;;;;;;x
PROV2283;Sipura;;;;;;;;;;;;;x
PROV2284;Pagai;;;;;;;;;;;;;x
PROV2285;Rokan;;;;;;;;;;;;;x
PROV2286;Bahal;;;;;;;;;;;;;x
PROV2287;Tapanuli;;;;;;;;;;;;;x
PROV2288;Agam;;;;;;;;;;;;;x
PROV2289;Kampar;;;;;;;;;;;;;x
PROV2290;Dumai;;;;;;;;;;;;;x
PROV2291;Bengkalis;;;;;;;;;;;;;x
PROV2292;Pelalawan;;;;;;;;;;;;;x
PROV2293;Kuantan Singingi;;;;;;;;;;;;;x
PROV2294;Padang;;;;;;;;;;;;;x
PROV2295;Pesisir Selatan;;;;;;;;;;;;;x
PROV2296;Sungaipenuh;;;;;;;;;;;;;x
PROV2297;Batam;;;;;;;;;;;;;x
PROV2298;Natuna;;;;;;;;;;;;;x
PROV2299;Lingga;;;;;;;;;;;;;x
PROV2300;Indragiri;;;;;;;;;;;;;x
PROV2301;Jambi;;;;;;;;;;;;;x
PROV2302;Kerinci;;;;;;;;;;;;;x
PROV2303;Belitung;;;;;;;;;;;;;x
PROV2304;Bangka;;;;;;;;;;;;;x
PROV2305;Palembang;;;;;;;;;;;;;x
PROV2306;Musi Banyuasin;;;;;;;;;;;;;x
PROV2307;Musi Rawas;;;;;;;;;;;;;x
PROV2308;Merangin;;;;;;;;;;;;;x
PROV2309;Bengkulu;;;;;;;;;;;;;x
PROV2310;Kaur;;;;;;;;;;;;;x
PROV2311;Gunungmegang;;;;;;;;;;;;;x
PROV2312;Muara Enim;;;;;;;;;;;;;x
PROV2313;Ogan;;;;;;;;;;;;;x
PROV2314;Kayu Agung;;;;;;;;;;;;;x
PROV2315;Lampung Barat;;;;;;;;;;;;;x
PROV2316;Tanggamus;;;;;;;;;;;;;x
PROV2317;Lampung Utara;;;;;;;;;;;;;x
PROV2318;Lampung Selatan;;;;;;;;;;;;;x
PROV2319;Lampung Timur;;;;;;;;;;;;;x
PROV2320;Tulang Bawang;;;;;;;;;;;;;x
# Java
PROV2321;Banten;;;;;;;;;;;;;x
PROV2322;Kalapa;;;;;;;;;;;;;x
PROV2323;Sukabumi;;;;;;;;;;;;;x
PROV2324;Cirebon;;;;;;;;;;;;;x
PROV2325;Kawali;;;;;;;;;;;;;x
PROV2326;Kendal;;;;;;;;;;;;;x
PROV2327;Karta;;;;;;;;;;;;;x
PROV2328;Pajang;;;;;;;;;;;;;x
PROV2329;Vanagiri;;;;;;;;;;;;;x
PROV2330;Kediri;;;;;;;;;;;;;x
PROV2331;Demak;;;;;;;;;;;;;x
PROV2332;Trowulan;;;;;;;;;;;;;x
PROV2333;Malang;;;;;;;;;;;;;x
PROV2334;Blambangan;;;;;;;;;;;;;x
PROV2335;Madura;;;;;;;;;;;;;x
PROV2336;Bali;;;;;;;;;;;;;x
PROV2337;Lombok;;;;;;;;;;;;;x
PROV2338;Taliwang;;;;;;;;;;;;;x
PROV2339;Sumbawa;;;;;;;;;;;;;x
PROV2340;Dompu;;;;;;;;;;;;;x
# Sulawesi
PROV2341;Mandar;;;;;;;;;;;;;x # Sulawesi
PROV2342;Luwu;;;;;;;;;;;;;x
PROV2343;Bone;;;;;;;;;;;;;x
PROV2344;Poso;;;;;;;;;;;;;x
PROV2345;Ampana;;;;;;;;;;;;;x
PROV2346;Luwuk;;;;;;;;;;;;;x
PROV2347;Mamuju;;;;;;;;;;;;;x
PROV2348;Donggala;;;;;;;;;;;;;x
PROV2349;Buol;;;;;;;;;;;;;x
PROV2350;Pohuwato;;;;;;;;;;;;;x
PROV2351;Hulontalangio;;;;;;;;;;;;;x
PROV2352;Manadou;;;;;;;;;;;;;x
# Borneo
PROV2353;Borneo;;;;;;;;;;;;;x
PROV2354;Sambas;x # Kalimantan
PROV2355;Sukadana;;;;;;;;;;;;;x
PROV2356;Ketapang;;;;;;;;;;;;;x
PROV2357;Lamandau;;;;;;;;;;;;;x
PROV2358;Seruyan;;;;;;;;;;;;;x
PROV2359;Katingan;;;;;;;;;;;;;x
PROV2360;Kapuas;;;;;;;;;;;;;x
PROV2361;Banjar;;;;;;;;;;;;;x
PROV2362;Kotabaru;;;;;;;;;;;;;x
PROV2363;Balangan;;;;;;;;;;;;;x
PROV2364;Paser;;;;;;;;;;;;;x
PROV2365;Bontang;;;;;;;;;;;;;x
PROV2366;Kutai;;;;;;;;;;;;;x
PROV2367;Berau;;;;;;;;;;;;;x
PROV2368;Bulungan;;;;;;;;;;;;;x
PROV2369;Malinau;;;;;;;;;;;;;x
PROV2370;Tarakan;;;;;;;;;;;;;x
PROV2371;Kuching;x # Sarawak
PROV2372;Sarikei;;;;;;;;;;;;;x
PROV2373;Mukah;;;;;;;;;;;;;x
PROV2374;Kapit;;;;;;;;;;;;;x
PROV2375;Bintulu;;;;;;;;;;;;;x
PROV2376;Miri;;;;;;;;;;;;;x
PROV2377;Limbang;;;;;;;;;;;;;x
PROV2378;Tambunan;;;;;;;;;;;;;x
PROV2379;Kota Marudu;;;;;;;;;;;;;x
PROV2380;Sandakan;;;;;;;;;;;;;x
PROV2381;Tawao;;;;;;;;;;;;;x # Should not be Tawau, since that's the modern spelling
# The Philippines
PROV2382;Palawan;x # Mindanao
PROV2383;Sulu;;;;;;;;;;;;;x
PROV2384;Basilan;;;;;;;;;;;;;x
PROV2385;Sung Lupa;;;;;;;;;;;;;x
PROV2386;Kasambuwangaan;;;;;;;;;;;;;x
PROV2387;Bayug;;;;;;;;;;;;;x
PROV2388;Kuta Wato;;;;;;;;;;;;;x
PROV2389;Himologan;;;;;;;;;;;;;x
PROV2390;Bukidnon;;;;;;;;;;;;;x
PROV2391;Malaybalay;;;;;;;;;;;;;x
PROV2392;Butuan;;;;;;;;;;;;;x
PROV2393;Bayugan;;;;;;;;;;;;;x
PROV2394;Suba;;;;;;;;;;;;;x
PROV2395;Madja;;;;;;;;;;;;;x
PROV2396;Panay;;;;;;;;;;;;;x
PROV2397;Bamban;;;;;;;;;;;;;x
