EVTDESC_TIANXIA_1;Having converted to the Confucian religion, I must now choose one of the schools to adhere to. The Traditionalists embrace the more spiritual influences of Taoism and Buddhism, while the Neo-Confucians call for the rejection of mysticism.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1;Confucius himself spoke of the will of mystical Tian.;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1;The only way to understand the world is reason.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2;The schools of Confucianism are not rigid and absolute. I am disillusioned with my current school and therefore wish to adopt and sponsor a different branch of Confucian philosophy.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_4;There are so many words in the ancient texts about every aspect of managing a realm, from diplomacy to military management to economics. I simply need to choose one of them to focus on, so that I can fully extract the meaning of the texts and better my skills in that field.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_4;I need to improve my diplomacy.;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_4;Commanding and managing an army sounds important.;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_4;Without good administration, nothing else matters.;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_4;I am looking for something more personal.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_5;The ancient texts certainly do not lack advice on the personal, whether it is deceit, subterfuge, seduction or simply focusing on improving one's knowledge. Once again, I must choose one of them to study.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_5;I will learn deceit and seduction.;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_5;I want to know about the world around me.;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_5;On second thoughts, maybe realm management?;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_5;It is all too complicated, the ancients are wise.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_6;If I wish to dedicate myself to Taoism, I should also choose one of its major schools to align myself with. Each school has a slightly different set of practices and structure, and although there is little animosity between schools selecting the correct one to guide me on my path to immortality is still important.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_6;The orthodox ways of the Zhengyi Dao are the best.;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_6;I find the focus on inner perfection by the Quanzhen School appealing.;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_6;The Shangqing School's meditation practices shall lead me to clarity.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_7;While I currently sponsor and follow the practices of a particular school of Taoism, there is little shame in considering other approaches. I wish to declare my alignment with a different school of Taoism from the one which I currently follow.;;;;;;;;;;;;;x
EVTTITLE_TIANXIA_8;The [Root.Religion.GetName] [Root.Religion.GetCrusadeName]s;;;;;;;;;;;;;x
EVTDESC_TIANXIA_8;The holy [Root.GetTitle], [Root.GetDynName], the supreme head of the [Root.Religion.GetName] faith, has sent out a proclaimation to all faithful [Root.Religion.GetName] [Root.Religion.GetPriestTitle]s, to be read aloud so that all the faithful may heed [Root.GetHerHis] words and the will of [Root.Religion.GetHighGodName].\n\nAs put forth in [Root.Religion.GetScriptureName], the time has come for [Root.GetBestName] to invoke [Root.GetHerHis] sacred right to proclaim the start of the [Root.Religion.GetName] [Root.Religion.GetCrusadeName]s. All true [Root.Religion.GetName] faithful should prepare for war, for the time has come to show the unbelievers the might of [Root.Religion.GetHighGodName].;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_8;Victory for [Root.Religion.GetHighGodName]!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_8;Greatness awaits!;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_8;That sounds awf... great!;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_8;That's ni... terrible! Terrible!;;;;;;;;;;;;;x
EVTOPTE_TIANXIA_8;We must prepare for the worst!;;;;;;;;;;;;;x

# TIANXIATODO: Alt start; the Validator will complain if these are missing, so let's add them...
EVTDESC_TIANXIA_1_ALT;dummy;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1_ALT;dummy;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1_ALT;dummy;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2_ALT;dummy;;;;;;;;;;;;;x
EVTDESC_TIANXIA_6_ALT;dummy;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_6_ALT;dummy;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_6_ALT;dummy;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_6_ALT;dummy;;;;;;;;;;;;;x
EVTDESC_TIANXIA_7_ALT;dummy;;;;;;;;;;;;;x
