EVTDESC_TIANXIA_703;My [GetFromRelation] [From.GetBestName] has managed to overcome [From.GetHerHis] at times excessive drinking through hard work and dedication. Perhaps I should attempt to follow in [From.GetHerHis] footsteps?;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_703;I should attempt to drink less...;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_704;I think not!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_704;My [GetFromRelation] [From.GetBestName] has managed to overcome [From.GetHerHis] well-known hedonism through hard work and dedication. Perhaps I should attempt to follow in [From.GetHerHis] footsteps?;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_743;No more hedonism!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_704;I think not!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_705;My [GetFromRelation] [From.GetBestName] has managed to overcome [From.GetHerHis] at times overly lustful nature through hard work and dedication. Perhaps I should attempt to follow in [From.GetHerHis] footsteps?;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_705;Perhaps I am too lustful...;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_705;I think not!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_706;My [GetFromRelation] [From.GetBestName] has managed to overcome [From.GetHerHis] at times unparalleled cruelty through hard work and dedication. Perhaps I should attempt to follow in [From.GetHerHis] footsteps?;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_706;I might be overly cruel at times...;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_706;I think not!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_707;My [GetFromRelation] [From.GetBestName] has managed to overcome [From.GetHerHis] at times concerning gluttony through hard work and dedication. Perhaps I should attempt to follow in [From.GetHerHis] footsteps?;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_707;I could maybe eat a bit less...;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_707;I think not!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_708;My [GetFromRelation] [From.GetBestName] has managed to overcome [From.GetHerHis] at times troubling greed through hard work and dedication. Perhaps I should attempt to follow in [From.GetHerHis] footsteps?;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_708;My greed might be a problem...;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_708;I think not!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_709;My [GetFromRelation] [From.GetBestName] has managed to overcome [From.GetHerHis] at times worrisome envy through hard work and dedication. Perhaps I should attempt to follow in [From.GetHerHis] footsteps?;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_709;Perhaps I could be kinder...;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_709;I think not!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_710;My [GetFromRelation] [From.GetBestName] has managed to overcome [From.GetHerHis] at times unspeakable anger through hard work and dedication. Perhaps I should attempt to follow in [From.GetHerHis] footsteps?;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_710;Perhaps I should try to be more patient...;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_710;I think not!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_711;My [GetFromRelation] [From.GetBestName] has managed to overcome [From.GetHerHis] at times overly abundant pride through hard work and dedication. Perhaps I should attempt to follow in [From.GetHerHis] footsteps?;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_711;I might be too prideful...;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_711;I think not!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_712;My [GetFromRelation] [From.GetBestName] has managed to overcome [From.GetHerHis] at times concerningly fearful nature through hard work and dedication. Perhaps I should attempt to follow in [From.GetHerHis] footsteps?;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_712;I should try to be braver...;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_712;Maybe I could trust people a bit more...;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_712;I think not!;;;;;;;;;;;;;x
