EVTTITLE_TIANXIA_1507;The Province of Thrace;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1507_CHRISTIAN;Victory. That is the focus of every sermon delivered by the priests in the Hagia Sophia. Roman armies have once more secured Thrace, the heartland of the Eastern Roman Empire. May barbarians never again threaten the City of World's Desire!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1507_HELLENIC;Victory. Roman armies have once more secured Thrace, the heartland of the Eastern Roman Empire. May barbarians never again threaten the City of World's Desire!;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1507;Roma invicta! Roma aeterna!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1507;Ave [Root.GetImperatorImperatrix]!;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_1507;I see...;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_1507;Interesting...;;;;;;;;;;;;;x
EVTTITLE_TIANXIA_1508;The Province of Moesia Inferior;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1508_CHRISTIAN;Moesia Inferior is once more under Roman control, bringing with it control of the mouth of the Danube as well as of a stretch of the coastline of the Black Sea. This province will without doubt be as valuable for Rome in these times as it was in the past.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1508_HELLENIC;Moesia Inferior is once more under Roman control, bringing with it control of the mouth of the Danube as well as of a stretch of the coastline of the Black Sea. This province will without doubt be as valuable for Rome in these times as it was in the past.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1508;Roma invicta! Roma aeterna!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1508;Ave [Root.GetImperatorImperatrix]!;;;;;;;;;;;;;x
EVTOPTC_TIANXIA_1508;I see...;;;;;;;;;;;;;x
EVTOPTD_TIANXIA_1508;Interesting...;;;;;;;;;;;;;x
EVTTITLE_TIANXIA_1509;The Province of Moesia Superior;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1509_CHRISTIAN;Moesia Superior is once more under Roman control, securing a strategically important stretch of the Danube. To avoid repeating the mistakes of the past, this region will doubtlessly be well fortified to help protect against any barbarians that might dare to attempt to cross into Roman lands.;;;;;;;;;;;;;x
EVTDESC_TIANXIA_1509_HELLENIC;Moesia Superior is once more under Roman control, securing a strategically important stretch of the Danube. To avoid repeating the mistakes of the past, this region will doubtlessly be well fortified to help protect against any barbarians that might dare to attempt to cross into Roman lands.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_1509;Roma invicta! Roma aeterna!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_1509;Ave [Root.GetImperatorImperatrix]!;;;;;;;;;;;;;x
