# 09_sunrise_invasion_effects.txt
some_papuans_appear;Some Papuans join your court.;;;;;;;;;;;;;x

# 10_soh_chinese_dynasties_effects.txt
clean_up_grace;All Grace is forfeit and all Chinese Princesses lose their special standing.;;;;;;;;;;;;;x
set_up_grace;All relevant female relatives of the new Emperor of China gains the Chinese Princess status.;;;;;;;;;;;;;x

# 10_soh_imperial_family_effects.txt
deceased_forefathers_rejoin_imperial_family;All male line ancestors not already part of the Imperial Family rejoin it.;;;;;;;;;;;;;x
male_line_descendants_not_explicitly_given_a_surname_join_the_imperial_family;All non-bastard male line descendants not explicitly given a surname rejoin the Imperial Family.;;;;;;;;;;;;;x

# 10_soh_spawn_character_effects.txt
grant_random_court_eunuch_position_to_skilled_eunuch;[skilled_eunuch.GetBestName] becomes a Council Eunuch.;;;;;;;;;;;;;x
