EVTDESC_TIANXIA_2701;While my marriage to [From.GetBestName] of course did not take place due to love, we have grown closer over time, and I am definitely feeling something for [From.GetHerHim]...;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2701;I think I love [From.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_2701;Whatever it is, it isn't love...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2702;[From.GetBestName] has confessed [From.GetHerHis] love for me. [From.GetSheHeCap] clearly hopes to hear that I have the same feelings for [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2702;Of course I love you!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_2702;Love? Pah!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2703;[From.GetBestName] was very happy when I told [From.GetHerHim] that I love [From.GetHerHim], and immediately told me that [From.GetSheHe] felt the same way about me.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2703;True love!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2704;[From.GetBestName] was rather dismissive when I told [From.GetHerHim] that I love [From.GetHerHim], and told me that [From.GetSheHe] has little interest in such nonsense.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2704;Maybe [From.GetSheHe] will change [From.GetHerHis] mind in time...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2705;I have been spending more time with my [target_spouse.GetConcubineConsort] [target_spouse.GetFirstName] lately, and though of course [target_spouse.GetSheHe] did not become my consort because I loved [target_spouse.GetHerHim], I can tell that we are growing closer.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2705;This bodes well for the future!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2706;While I did not become the [Root.GetConcubineConsort] of [From.GetBestName] as a consequence of our love for each other, we have grown closer over time, and I am definitely feeling something for [From.GetHerHim]...;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2706;I think I love [From.GetHerHim]!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_2706;Whatever it is, it isn't love...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2707;[From.GetBestName] has confessed [From.GetHerHis] love for me. [From.GetSheHeCap] clearly hopes to hear that I have the same feelings for [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2707;Of course I love you!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_2707;Love? Pah!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2708;[From.GetBestName] was very happy when I told [From.GetHerHim] that I love [From.GetHerHim], and immediately told me that [From.GetSheHe] felt the same way about me.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2708;True love!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2709;[From.GetBestName] was rather dismissive when I told [From.GetHerHim] that I love [From.GetHerHim], and told me that [From.GetSheHe] has little interest in such nonsense.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2709;Maybe [From.GetSheHe] will change [From.GetHerHis] mind in time...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2710;My [From.GetBrotherSister] [From.GetFirstName] has made an effort to spend more time with me lately. We have not always seen eye to eye, but [From.GetSheHe] seems to be making an effort to become closer to me, and [From.GetHerHis] sincere efforts have made me feel our rivalry perhaps should be a thing of the past.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2710;I will propose an end to our rivalry!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_2710;No! I still hate [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2711;My [From.GetBrotherSister] [From.GetFirstName] just suggested that perhaps it is time for our rivalry to come to an end, seeing as our family is more likely to prosper if we work together.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2711;Of course we should end our rivalry!;;;;;;;;;;;;;x
EVTOPTB_TIANXIA_2711;No! I still hate [From.GetHerHim]!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2712;[From.GetBestName] agreed that the time has come for our rivalry to end.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2712;Family first, as [From.GetSheHe] would say!;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2713;[From.GetBestName] made it clear in no uncertain terms that [From.GetSheHe] still considers me [From.GetHerHis] rival, stating that I know very well what I have done and why [From.GetSheHe] cannot forgive or forget.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2713;So much for "Family first"...;;;;;;;;;;;;;x
EVTDESC_TIANXIA_2714;[From.GetBestName] always puts [From.GetHerHis] family before [From.GetHerHim]self, and [From.GetSheHe] is also a joy to be around. I consider [From.GetHerHim] a very close friend.;;;;;;;;;;;;;x
EVTOPTA_TIANXIA_2714;A friendship to last, I hope!;;;;;;;;;;;;;x
