#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
found_sohei;Found the Sohei;;;;;;;;;;;;;x
found_sohei_desc;Buddhists in Japan sometimes feel that their interests are not being cared for. I could sponsor a warrior brotherhood to safeguard the faithful.;;;;;;;;;;;;;x
found_sons_of_the_dragon;Found the Sons of the Dragon;;;;;;;;;;;;;x
found_sons_of_the_dragon_desc;The Taoist religion generally seeks to live at peace with other religions, but it might be wise to sponsor the creation of a force to safeguard it even so.;;;;;;;;;;;;;x
found_bushido_brotherhood;Found the Bushido Brotherhood;;;;;;;;;;;;;x
found_bushido_brotherhood_desc;To safeguard the Land of the Rising Sun and its children it might be a good idea to invest in the creation of a warrior brotherhood dedicated to this task.;;;;;;;;;;;;;x
expel_chosen_of_heaven;Expel the Chosen of Heaven;;;;;;;;;;;;;x
expel_chosen_of_heaven_desc;I can drive the Chosen of Heaven from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
donate_money_to_chosen_of_heaven;Donate 300¤ to the Chosen of Heaven;;;;;;;;;;;;;x
donate_money_to_chosen_of_heaven_desc;I can donate money to the Chosen of Heaven in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;;;;;x
expel_children_of_the_morning_calm;Expel the Children of the Morning Calm;;;;;;;;;;;;;x
expel_children_of_the_morning_calm_desc;I can drive the Children of the Morning Calm from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
donate_money_to_children_of_the_morning_calm;Donate 300¤ to the Children of the Morning Calm;;;;;;;;;;;;;x
donate_money_to_children_of_the_morning_calm_desc;I can donate money to the Children of the Morning Calm in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;;;;;x
expel_bear_guard;Expel the Bear Guard;;;;;;;;;;;;;x
expel_bear_guard_desc;I can drive the Bear Guard from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
donate_money_to_bear_guard;Donate 300¤ to the Bear Guard;;;;;;;;;;;;;x
donate_money_to_bear_guard_desc;I can donate money to the Bear Guard in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;;;;;x
expel_conquerors;Expel the Conquerors;;;;;;;;;;;;;x
expel_conquerors_desc;I can drive the Conquerors from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
donate_money_to_conquerors;Donate 300¤ to the Conquerors;;;;;;;;;;;;;x
donate_money_to_conquerors_desc;I can donate money to the Conquerors in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;;;;;x
expel_pakhangbas_faithful;Expel Pakhangba's Faithful;;;;;;;;;;;;;x
expel_pakhangbas_faithful_desc;I can drive Pakhangba's Faithful from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
donate_money_to_pakhangbas_faithful;Donate 300¤ to Pakhangba's Faithful;;;;;;;;;;;;;x
donate_money_to_pakhangbas_faithful_desc;I can donate money to Pakhangba's Faithful in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;;;;;x
expel_servants_of_the_ancestors;Expel the Servants of the Ancestors;;;;;;;;;;;;;x
expel_servants_of_the_ancestors_desc;I can drive the Servants of the Ancestors from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
donate_money_to_servants_of_the_ancestors;Donate 300¤ to the Servants of the Ancestors;;;;;;;;;;;;;x
donate_money_to_servants_of_the_ancestors_desc;I can donate money to the Servants of the Ancestors in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;;;;;x
expel_warriors_of_the_waves;Expel the Warriors of the Waves;;;;;;;;;;;;;x
expel_warriors_of_the_waves_desc;I can drive the Warriors of the Waves from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
donate_money_to_warriors_of_the_waves;Donate 300¤ to the Warriors of the Waves;;;;;;;;;;;;;x
donate_money_to_warriors_of_the_waves_desc;I can donate money to the Warriors of the Waves in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;;;;;x
expel_headhunters;Expel the Headhunters;;;;;;;;;;;;;x
expel_headhunters_desc;I can drive the Headhunters from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;;;;;x
donate_money_to_headhunters;Donate 300¤ to the Headhunters;;;;;;;;;;;;;x
donate_money_to_headhunters_desc;I can donate money to the Headhunters in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;;;;;;;;;;;;;x
d_sons_of_the_dragon;Sons of the Dragon;;;;;;;;;;;;;x
d_bushido_brotherhood;Bushido Brotherhood;;;;;;;;;;;;;x
d_chosen_of_heaven;Chosen of Heaven;;;;;;;;;;;;;x
d_children_of_the_morning_calm;Children of the Morning Calm;;;;;;;;;;;;;x
d_bear_guard;Bear Guard;;;;;;;;;;;;;x
d_conquerors;Conquerors;;;;;;;;;;;;;x
d_pakhangbas_faithful;Pakhangba's Faithful;;;;;;;;;;;;;x
d_servants_of_the_ancestors;Servants of the Ancestors;;;;;;;;;;;;;x
d_warriors_of_the_waves;Warriors of the Waves;;;;;;;;;;;;;x
d_headhunters;Headhunters;;;;;;;;;;;;;x
expelled_d_chosen_of_heaven;Expelled the Chosen of Heaven;;;;;;;;;;;;;x
