#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EMPIRE_OF_CHINA;Empire of China;;;;;;;;;;;;;x
EVTDESC_GRACE_991;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe [From.GetChineseComplimentAdjective] [From.GetTitledName] no longer considers the Peace Deal between our realms to be in its interest. Surely you cannot fault our reasoning.\n\nSigned,\n[FromFrom.GetTitledName];;;;;;;;;;;;;x
EVTOPTA_GRACE_991;[FromFrom.GetSheHeCap] dares break our agreement?;;;;;;;;;;;;;x
EVTDESC_GRACE_992;[Root.GetTitledName],\n\nI thought the Dragon Throne could be trusted, but it is evident that the Middle Kingdom is ruled by a liar and a thief. I will remember this betrayal of trust.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTA_GRACE_992;Oh, well...;;;;;;;;;;;;;x
EVTDESC_GRACE_993;[Root.GetTitledName],\n\nOur Peace Deal is no longer in my interest. Surely you will understand that I end it prematurely.\nSigned,\n\n[FromFrom.GetTitledName];;;;;;;;;;;;;x
EVTOPTA_GRACE_993;The Dragon Throne will remember this!;;;;;;;;;;;;;x
EVTDESC_GRACE_994;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe [From.GetChineseComplimentAdjective] [From.GetTitledName]'s memory is long, and barbarians who turn their backs on its mercy will be taught the price of their folly when the time is right.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTA_GRACE_994;I hope it was worth it...;;;;;;;;;;;;;x
EVTTITLE_GRACE_339;An Imperial Marriage?;;;;;;;;;;;;;x
EVTDESC_GRACE_339;Your ministers inform you that [FromFrom.GetTitledName] has sent an envoy asking for an Imperial Marriage between [FromFromFrom.GetBestName] and [From.GetBestName] as [FromFrom.GetSheHe] has earned enough Grace to request this Boon.\n\nRefusing the Boon without a good reason would be a widely unpopular move.;;;;;;;;;;;;;x
EVTOPTA_GRACE_339;Of course we will agree to this!;;;;;;;;;;;;;x
EVTOPTB_GRACE_339;I have other plans for her...;;;;;;;;;;;;;x
EVTOPTC_GRACE_339;[FromFromFrom.GetBestName] does not deserve an Imperial Marriage!;;;;;;;;;;;;;x
EVTOPTD_GRACE_339;The Dragon Throne refuses, because I said so!;;;;;;;;;;;;;x
